School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,School_Type,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,ADA_Accessible,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,School_Latitude,School_Longitude,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Overall_Rating,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Location
400051,1930,66141,NOBLE - NOBLE HS,Noble - Noble College Prep,Charter,HS,Y,,,,"The original Noble Network Campus, Noble Street College Prep creates a student-centered learning environment while promoting the values of scholarship, discipline and honor.",Director,Ms. Ellen Metz,,,1010 N NOBLE ST,Chicago,Illinois,60622,7738621449,7732780421,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400051,http://noblestreet.noblenetwork.org,,,,,N,"9,10,11,12",9-12,631,540,74,56,58,554,10,3,4,0,0,2,0,0,There are 631 students enrolled at NOBLE - NOBLE HS.  85.6% are Low Income Students.  11.7% are Diverse Learners.  8.9% are Limited English Learners.,The largest demographic at NOBLE - NOBLE HS is Hispanic.  This demographic makes up 87.8% of the student population.  The second greatest demographic is Black at 9.2%.,No/unknown accessibility,Y,,,8:40 AM-4:00 PM,"M - R 8:00 a.m. - 4:00 p.m., F 8:00 a.m. - 1:00 p.m.",,,Russian,N,N,Y,,,,,,"9, 56, 70",,,41.900191,-87.662628,21.2,18.4,84.7,57.9,92.8,73.5,Level 1+,Not Applicable,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2015-2016,,,,,,,,,,,"1010 N NOBLE ST
Chicago, Illinois 60622
(41.900191, -87.662628)"
610566,9631,65011,MAGIC JOHNSON - N LAWNDALE HS,Magic Johnson- North Lawndale HS,Citywide-Option,HS,Y,,,,,Principal,Ms. Tara Lawrence,,,3222 W ROOSEVELT RD,Chicago,Illinois,60624,7738261137,7738261180,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610566,http://magicjohnsonbridgescape.com,,,,,N,"9,10,11,12",9-12,185,179,40,2,171,10,1,0,1,0,0,1,0,1,There are 185 students enrolled at MAGIC JOHNSON - N LAWNDALE HS.  96.8% are Low Income Students.  21.6% are Diverse Learners.  1.1% are Limited English Learners.,The largest demographic at MAGIC JOHNSON - N LAWNDALE HS is Black.  This demographic makes up 92.4% of the student population.  The second greatest demographic is Hispanic at 5.4%.,No/unknown accessibility,N,,,,,,,,,,,,,,,,,,,41.866478,-87.706604,12.9,18.4,12.5,57.9,,73.5,Level 2+,Not Applicable,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.",Schools that have their own processes for enrollment.,School Year 2015-2016,,,,,,,,,,,"3222 W ROOSEVELT RD
Chicago, Illinois 60624
(41.866478, -87.706604)"
610557,8687,65018,PATHWAYS - ASHBURN HS,Pathways in Education- Ashburn,Citywide-Option,HS,Y,,,,,Principal,Mr. Andrew Morgan,,,3284 W 87TH ST,Chicago,Illinois,60652,7734346300,7734346301,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610557,http://www.pathwaysedu.org,,,,,N,"9,10,11,12",9-12,264,233,25,23,57,174,24,0,4,0,0,2,0,3,There are 264 students enrolled at PATHWAYS - ASHBURN HS.  88.3% are Low Income Students.  9.5% are Diverse Learners.  8.7% are Limited English Learners.,The largest demographic at PATHWAYS - ASHBURN HS is Hispanic.  This demographic makes up 65.9% of the student population.  The second greatest demographic is Black at 21.6%.,No/unknown accessibility,N,,,,,,,,,,Y,,,,,,,,,41.735239,-87.70406,15.1,18.4,18.8,57.9,0,73.5,Level 2,Not Applicable,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.",Schools that have their own processes for enrollment.,School Year 2015-2016,,,,,,,,,,,"3284 W 87TH ST
Chicago, Illinois 60652
(41.735239, -87.70406)"
610066,4750,29181,MCDADE,James E McDade Elementary Classical School,Classical,ES,,,Y,,"McDade Classical School is designed to provide a challenging liberal arts education to academically-talented students. The curriculum is accelerated and highly structured in reading and mathematics, language arts, and the humanities. French is offered to students in Grades K-6. McDade has partnerships with Chicago State University and DePaul University.",Principal,Daniel Perry,,,8801 S INDIANA AVE,Chicago,Illinois,60619,7735353669,7735353667,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610066,http://www.mcdadeclassical.org/,,,,,N,"K,1,2,3,4,5,6",K-6,196,64,9,0,179,3,2,5,0,0,0,6,1,0,There are 196 students enrolled at MCDADE.  32.7% are Low Income Students.  4.6% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at MCDADE is Black.  This demographic makes up 91.3% of the student population.  The second greatest demographic is Other at 3.6%.,Generally accessible,N,,Full Day,7:45 AM-2:45 PM,,,7:25 AM,,,,N,,,,,,"29, 87",Red,,41.73455,-87.619214,,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.",Provides a challenging liberal arts curriculum for students with high academic potential.,School Year 2015-2016,,,,,,,,,,,"8801 S INDIANA AVE
Chicago, Illinois 60619
(41.73455, -87.619214)"
610402,6990,46521,DEVRY HS,DeVry University Advantage Academy HS,Magnet,HS,Y,,,,"DeVry University Advantage Academys accelerated curriculum provides highly motivated students a career and postsecondary advantage. Students earn an Associates degree in Network Systems Administration (NSA) or Web Graphic Design (WGD) while completing high school requirements. Graduates are poised to transfer to a 4-year program of study to complete their bachelors degree, often in as little as 2 years!",Principal,Carolyn May Eggert,Office Manager,Jessenia Hamilton,3300 N CAMPBELL AVE,Chicago,Illinois,60618,7736972216,7733274262,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610402,http://www.devry.cps.edu,,,,,N,"11,12",11-12,194,135,3,1,71,85,21,14,1,0,0,2,0,0,There are 194 students enrolled at DEVRY HS.  69.6% are Low Income Students.  1.5% are Diverse Learners.  0.5% are Limited English Learners.,The largest demographic at DEVRY HS is Hispanic.  This demographic makes up 43.8% of the student population.  The second greatest demographic is Black at 36.6%.,Fully Accessible,N,,Full Day,8:00 am-3:30 pm,8:00 a.m. - 3:30 p.m.,3:30 pm - 4:30 pm,7:00 am,"French, Spanish",Y,,Y,,,,,,"49, 77, 52",,,41.941388,-87.690761,21.1,18.4,80,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2015-2016,Counselor,Tina Drake,,,,,,,,,"3300 N CAMPBELL AVE
Chicago, Illinois 60618
(41.941388, -87.690761)"
610016,4240,23971,KELLOGG,Kate S Kellogg Elementary School,Neighborhood,ES,,Y,Y,,"At Kellogg Elementary School, we are preparing all children to be successful leaders and learners with a solid foundation of skills and knowledge. Kellogg offers the International Baccalaureate Middle Years Programme at Grades 6-8 that concentrates on preparing students for high school.",Principal,Cory W Overstreet,Counselor and Case Manager,Meg Rooney,9241 S LEAVITT ST,Chicago,Illinois,60643,7735352590,7735352596,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610016,http://www.kellogg.cps.edu,,,,,Y,"K,1,2,3,4,5,6,7,8",K-8,248,90,35,1,205,6,25,0,2,0,0,10,0,0,There are 248 students enrolled at KELLOGG.  36.3% are Low Income Students.  14.1% are Diverse Learners.  0.4% are Limited English Learners.,The largest demographic at KELLOGG is Black.  This demographic makes up 82.7% of the student population.  The second greatest demographic is White at 10.1%.,No/unknown accessibility,Y,,Full Day,07:45 AM-02:45 PM,,,7:25am Breakfast,,,,N,,,,,,"48, 49A, 95W",,Rock Island District (RI),41.725263,-87.677233,,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2015-2016,IB Coordinator,Diane Pajkos,,,,,,,,,"9241 S LEAVITT ST
Chicago, Illinois 60643
(41.725263, -87.677233)"
610362,7990,26591,EVERS,Medgar Evers Elementary School,Neighborhood,ES,,Y,Y,Y,"Evers offers a Fine and Performing Arts Magnet Program that provides a standards-based curriculum focused on the fine arts. Students have the opportunity to explore their creative abilities by participating in drama, visual arts, dance, and music activities. Students have won awards and recognition in Area Science and Young Authors, Essay, and Speech competitions.",Principal,Caroline Ellis,Other,Terri Thomas,9811 S LOWE AVE,Chicago,Illinois,60628,7735352565,7735352570,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610362,http://www.evers.cps.edu,,,,,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",315,280,45,6,310,4,0,0,0,0,0,0,1,0,There are 315 students enrolled at EVERS.  88.9% are Low Income Students.  14.3% are Diverse Learners.  1.9% are Limited English Learners.,The largest demographic at EVERS is Black.  This demographic makes up 98.4% of the student population.  The second greatest demographic is Hispanic at 1.3%.,No/unknown accessibility,Y,Half Day,Full Day,08:45 AM-03:45 PM,,4:00PM-5:00PM,,,,,Y,,,,,,"8A, 108",Red,,41.715665,-87.639305,,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2015-2016,,,,,,,,,,,"9811 S LOWE AVE
Chicago, Illinois 60628
(41.715665, -87.639305)"
609895,3110,29041,TURNER-DREW,Turner-Drew Elementary Language Academy,Magnet,ES,,Y,Y,,"Turner-Drew offers an educational program that emphasizes literacy, mathematics, and world language. In addition to the CPS curriculum, we also provide instruction in French and Spanish. 395 students are enrolled in the school, and we consistently make Adequate Yearly Progress (AYP). Our sports program includes girls and boys basketball, cheerleading, and chess.",Principal,Sabrina Boone Jackson,Other,Ms. Linda Woods,9300 S PRINCETON AVE,Chicago,Illinois,60620,7735355720,7735355203,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609895,http://www.turner-drew.cps.edu,,,,,N,"K,1,2,3,4,5,6,7,8",K-8,259,183,37,0,254,5,0,0,0,0,0,0,0,0,There are 259 students enrolled at TURNER-DREW.  70.7% are Low Income Students.  14.3% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at TURNER-DREW is Black.  This demographic makes up 98.1% of the student population.  The second greatest demographic is Hispanic at 1.9%.,Generally accessible,Y,,Full Day,07:45 AM-02:45 PM,,,,,,,Y,,,,,,"95W, 108, 112, 352, 381",Red,,41.725609,-87.630164,,18.4,,57.9,,73.5,Level 2+,Good Standing,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2015-2016,,,,,,,,,,,"9300 S PRINCETON AVE
Chicago, Illinois 60620
(41.725609, -87.630164)"
400047,8072,66562,LEARN - CAMPBELL,L.E.A.R.N. - Charles and Dorothy Campbell Campus,Charter,ES,,,Y,,LEARN Charter School 3rd Campus provides students with the ambition and academic foundation to earn a college degree. The school has small class sizes with 2 instructors in each classroom and an extended school year (200 days) and school day (8:30-4 p.m.). We have 3.5 hours of reading and writing instruction as well as small group and one-on-one instruction daily.,Director,Ms. Karin McGuire,Other,Linda Bobo,212 S FRANCISCO AVE,Chicago,Illinois,60612,7738260370,7738260109,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400047,http://www.learncharter.org,https://www.facebook.com/LEARNCharters/,https://twitter.com/LEARNCharters,,,N,"K,1,2,3,4,5",K-5,427,414,38,5,398,24,1,0,0,0,0,1,0,3,There are 427 students enrolled at LEARN - CAMPBELL.  97% are Low Income Students.  8.9% are Diverse Learners.  1.2% are Limited English Learners.,The largest demographic at LEARN - CAMPBELL is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 5.6%.,Fully Accessible,Y,,Full Day,8:25 am-4:00 pm,,,08:00 AM,,,,Y,,,,,,,,,41.877861,-87.698739,,18.4,,57.9,,73.5,Level 2+,Not Applicable,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2015-2016,,,,,,,,,,,"212 S FRANCISCO AVE
Chicago, Illinois 60612
(41.877861, -87.698739)"
610084,4960,29211,KELLER,Annie Keller Elementary Gifted Magnet School,Regional gifted center,ES,,Y,Y,,"Named one of the top 10 schools in Illinois, Keller Gifted Center offers an accelerated and broad curriculum designed to challenge gifted students. Instruction is project-based and students participate in a variety of academic activities and competitions. Keller has numerous partnerships with higher education institutions as well as public/private business corporations.",Principal,Delena Little,Other,Chalese Conley,3020 W 108TH ST,Chicago,Illinois,60655,7735352636,7735352635,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610084,http://www.keller.cps.edu,,,,,N,"1,2,3,4,5,6,7,8",1-8,240,48,6,4,83,26,72,46,0,0,0,7,2,4,There are 240 students enrolled at KELLER.  20% are Low Income Students.  2.5% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at KELLER is Black.  This demographic makes up 34.6% of the student population.  The second greatest demographic is White at 30%.,Fully Accessible,N,,Full Day,07:45 AM-02:45 PM,,,,,,,N,,,Y,,,52A,Orange,,41.69717,-87.697278,,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit: <a href = 'http://cps.edu/sqrp' target = '_blank'>http://cps.edu/sqrp</a>.","Schools that provide an accelerated instructional program that place an emphasis on thinking, reasoning, problem solving and creativity. Acceptance based on application and entrance exam.",School Year 2015-2016,,,,,,,,,,,"3020 W 108TH ST
Chicago, Illinois 60655
(41.69717, -87.697278)"
