Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,Kinzie Industrial Corridor Industrial Corridor,02/01/2001,$83013.00,$41506.50,"Truck dock, Skylights, Roof"
Northern Greenhouses Inc ,1756 W Lake,Kinzie Industrial Corridor Industrial Corridor,02/08/2001,$125000.00,$50000.00,New Roof
Roger Berman Co ,832 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,10/02/2001,$98336.70,$49168.35,HVAC / Elevator renovate / tuckpointing.
Moylan Insurance Agency,3301-05 W 111th ,111th/Kedzie,10/18/2001,$21718.75,$10859.38,Roof / Sign removal / Awnings
Mt Greenwood Local Redevelopment Corp,3255-3257 W 111th,111th/Kedzie,11/08/2001,$33149.75,$16574.87,Window-Door Replace / masonry / sign removal / awnings / exterior lighting / HVAC
Consolidated Chemical Works ,400 N Ashland,Kinzie Industrial Corridor Industrial Corridor,11/15/2001,$27528.00,$13764.00,Tuckpointing and roof repair / replacement.
Marco Lighting Components Inc ,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,01/04/2002,$104552.00,$50000.00,Gutter-flashing. Roof / Tuckpointing / Electrical / Emergency lighting
Value Transmission Inc,5434 W Higgins,Jefferson Park ,01/04/2002,$96771.00,$48385.50,"Tuckpointing, Facade, Window replacement, Front door, Roof, Sign"
American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,02/25/2002,$46118.00,$19061.00,Roof repair/ tuckpointing/ sign
Building Blocks Inc,1621 W Carroll,Kinzie Industrial Corridor Industrial Corridor,02/25/2002,$38633.40,$19316.70,Tuckpointing/ Renovation of washroom
CLOSED,11125 S Kedzie,111th/Kedzie,05/23/2002,$88864.00,$47634.00,Masonry / Floor Replacement / Plumbing / HVAC / Roof / Retail space remodel
Goose Island Beer Co ,1800 W Fulton,Kinzie Industrial Corridor Industrial Corridor,05/28/2002,$95000.00,$50000.00,Concrete/ excavation/ brickyard/ door/ electrical/ plumbing
Flat Enterprises Inc dba Alliance Paper & Food Service ,913 W Randolph,Kinzie Industrial Corridor Industrial Corridor,10/01/2002,$70405.50,$34884.00,Facade / Roof / Sign replacement / Window & Door Replacement
La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,10/01/2002,$97974.19,$45496.44,Interior Rehab / Awning / Tuckpoint-Masonry / Electrical Rehab.
Copernicus Foundation,5216 W Lawrence,Jefferson Park ,01/01/2003,$100000.00,$50000.00,renovations
