ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,GroupType,SGroupType,Capacity,CapType,Acreage,PKtoG8,G9toG12,AgencyOper,AgencyOver,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea
3702350636,3,BK,309,BROOKLYN COMMUNITY DISTRICT 9,4814,58,BROOKLYN DDSO,367 Hawthorne St,11225,3703,7,71,5,2,,,,57,57,804,804,40,17,71,4800,3048140058,998611,179108,R
3702350637,3,BK,315,BROOKLYN COMMUNITY DISTRICT 15,8802,1,BROOKLYN DDSO,3024 Voorhees Ave,11235,3703,7,71,8,2,,,,57,57,598,598,48,22,61,8900,3088020001,1002188,153333,R
3702350638,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,918,35,BROOKLYN DDSO,668 40 St,11232,3703,7,71,7,2,,,,57,57,88,88,38,15,72,6600,3009180035,984042,175424,R
3702350639,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4464,25,BROOKLYN DDSO,2645 Linden Bl,11208,3703,7,71,13,2,,,,57,57,1208,1208,42,19,75,6410,3044640025,1021057,183237,R
3702350640,3,BK,310,BROOKLYN COMMUNITY DISTRICT 10,6123,43,BROOKLYN DDSO,9502 Fort Hamilton Pkwy,11209,3703,7,71,7,2,,,,57,57,162,162,43,20,68,7810,3061230043,975987,163273,R
3702350641,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,7834,48,BROOKLYN DDSO,1260 E 55 St,11234,3703,7,71,8,2,,,,57,57,678,678,46,22,63,8822,3078340048,1005632,167308,R
3702350642,3,BK,311,BROOKLYN COMMUNITY DISTRICT 11,6553,18,BROOKLYN DDSO,2230 64 St,11204,3703,7,71,6,2,,,,57,57,436,436,44,21,62,8521,3065530018,989754,162896,R
3702350643,3,BK,301,BROOKLYN COMMUNITY DISTRICT 1,2833,12,BROOKLYN DDSO,105-107 Kingsland Ave,11222,3703,7,71,8,2,,,,57,57,477,477,34,14,94,900,3028330012,1000600,201586,R
3702350644,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,4610,42,BROOKLYN DDSO,182 E 92 St,11212,3703,7,71,8,2,,,,57,57,882,882,41,18,67,5810,3046100042,1004692,179906,R
3702350645,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4403,14,BROOKLYN DDSO,1038 Cleveland St,11208,3703,7,71,8,2,,,,57,57,1078,1078,42,19,75,6420,3044030014,1018265,179447,R
3802350646,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4586,300,BROOKLYN DDSO,888 Fountain Ave,11208,3805,7,72,,98,,,,57,57,1070,1070,42,19,75,6420,3045860300,1021439,178278,L
3702350647,3,BK,310,BROOKLYN COMMUNITY DISTRICT 10,5731,8,BROOKLYN DDSO,6205 11 Ave,11219,3703,7,71,7,2,,,,57,57,212,212,38,20,68,8020,3057310008,983111,168841,R
3702350648,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4403,14,BROOKLYN DDSO,1060 Cleveland St,11208,3703,7,71,12,2,,,,57,57,1078,1078,42,19,75,6420,3044030014,1018265,179447,R
3702350650,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1808,39,BROOKLYN DDSO,316 Quincy St,11216,3703,7,71,8,2,,,,57,57,251,251,36,13,79,2000,3018080039,998546,189565,R
3802350670,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4464,25,BROOKLYN DDSO,2645 Linden Bl,11208,3805,7,72,50,6,,,,57,57,1208,1208,42,19,75,6410,3044640025,1021057,183237,L
3702370867,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1222,153,METRO NY DDSO,146 W 92 St,10025,3703,7,71,12,2,,,,57,57,177,177,6,3,24,3220,1012220153,992181,227416,R
3702370868,1,MN,112,MANHATTAN COMMUNITY DISTRICT 12,2160,1,METRO NY DDSO,515 Audubon Ave,10040,3703,7,71,12,2,,,,57,57,277,277,10,6,34,210,1021600001,1004418,250654,R
3702370869,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,279,68,METRO NY DDSO,2 Oliver St,10038,3703,7,71,7,2,,,,57,57,27,27,1,2,5,7800,1002790068,984841,199082,R
3702370912,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,75,46,METRO NY DDSO,32 Cliff St,10038,3703,7,71,14,2,,,,57,57,15.02,1502,1,2,1,7700,1000750046,982878,197270,R
3702370916,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1151,17,METRO NY DDSO,515 W 59 St,10019,3703,7,71,8,2,,,,57,57,147,147,6,3,20,3900,1011510017,987498,220209,R
3702370918,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1869,7503,METRO NY DDSO,240 W 98 St,10025,3703,7,71,4,2,,,,57,57,183,183,6,3,24,3110,1018697503,992132,229243,R
3702370924,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1721,50,METRO NY DDSO,5 W 123 St,10027,3703,7,71,12,2,,,,57,57,200,200,9,5,28,1500,1017210050,999419,233001,R
3702370927,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1807,18,METRO NY DDSO,441 E 119 St,10035,3703,7,71,24,2,,,,57,57,192,192,8,4,25,1700,1018070018,1002979,229833,R
3702370930,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1727,32,METRO NY DDSO,1 W 129 St,10027,3703,7,71,24,2,,,,57,57,208,208,9,5,32,1300,1017270032,1000636,234158,R
3702370933,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,2023,121,METRO NY DDSO,219 W 137 St,10030,3703,7,71,14,2,,,,57,57,228,228,9,5,32,1000,1020230121,999841,237023,R
3702370934,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,2063,42,METRO NY DDSO,416 W 149 St,10031,3703,7,71,11,2,,,,57,57,231,231,9,6,30,720,1020630042,999738,240511,R
3702650007,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1373,1,METRO NY DDSO,10 River Rd,10044,3703,7,71,12,2,,,,57,57,238.02,23802,5,2,114,8300,1013730001,997381,215297,R
3802650009,2,BX,203,BRONX COMMUNITY DISTRICT 3,2977,168,METRO NY DDSO,1527 Southern Bl,10460,3805,7,72,125,6,,,,57,57,155,155,17,12,42,2120,2029770168,1014725,243315,L
3802650010,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,1967,40,METRO NY DDSO,479 W 126 St,10027,3805,7,72,80,6,,,,57,57,213.03,21303,7,5,26,1100,1019670040,996670,235898,L
3702650011,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,2096,26,METRO NY DDSO,601 W 149 St,10031,3703,7,71,10,2,,,,57,57,233,233,7,6,30,620,1020960026,998382,241442,R
3802650016,2,BX,210,BRONX COMMUNITY DISTRICT 10,3844,16,METRO NY DDSO,2400 Halsey St,10461,3805,7,72,20,6,,,,57,57,96,96,18,11,45,1320,2038440016,1027334,243748,L
3802650017,2,BX,210,BRONX COMMUNITY DISTRICT 10,5635,18,METRO NY DDSO,532 City Island Ave,10464,3805,7,72,25,6,,,,57,57,516,516,13,11,45,720,2056350018,1042493,250107,L
3702760001,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,3355,1,STATEN ISLAND DDSO,777 Seaview Ave Bldg C,10305,3704,7,71,72,2,,,,57,57,70,70,50,31,122,910,5033550001,962615,151202,R
3802760303,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,2040,400,STATEN ISLAND DDSO,930 Willowbrook Rd,10314,3805,7,72,123,6,,,,57,57,273.01,27301,50,31,121,100,5020400400,944369,157944,L
3702760608,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,5349,25,STATEN ISLAND DDSO,374 Retford Ave,10312,3703,7,71,7,2,,,,57,57,156.02,15602,51,31,123,920,5053490025,940653,133841,R
3702760609,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,4767,25,STATEN ISLAND DDSO,598 Mill Rd,10306,3703,7,71,3,2,,,,57,57,128.05,12805,50,31,122,920,5047670025,951797,141377,R
3702760613,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,231,24,STATEN ISLAND DDSO,792 Delafield Ave,10310,3703,7,71,4,2,,,,57,57,141,141,49,31,120,300,5002310024,949625,168202,R
3702760614,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,4767,26,STATEN ISLAND DDSO,596 Mill Rd,10306,3703,7,71,4,2,,,,57,57,128.05,12805,50,31,122,920,5047670026,951812,141397,R
3702760618,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,811,1,STATEN ISLAND DDSO,345 Bradley Ave,10314,3703,7,71,4,2,,,,57,57,187.02,18702,49,31,121,600,5008110001,947838,158892,R
3702760620,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,64,72,STATEN ISLAND DDSO,23 Cortelyou Pl,10301,3703,7,71,4,2,,,,57,57,81,81,49,31,120,400,5000640072,958298,172637,R
3702760623,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,2040,300,STATEN ISLAND DDSO,52 Executive Way,10314,3703,7,71,6,2,,,,57,57,273.01,27301,50,31,121,100,5020400300,943343,155791,R
3702760624,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7964,2,STATEN ISLAND DDSO,7768-70 Amboy Rd,10307,3703,7,71,10,2,,,,57,57,244.01,24401,51,31,123,800,5079640002,913570,124254,R
3702760626,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,775,73,STATEN ISLAND DDSO,44 Roosevelt Ave,10314,3703,7,71,10,2,,,,57,57,189.02,18902,49,31,121,600,5007750073,947255,159957,R
3702760627,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,6429,79,STATEN ISLAND DDSO,25 Poillon Ave,10312,3703,7,71,11,2,,,,57,57,176,176,51,31,123,800,5064290079,934735,134328,R
3702760628,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,3116,80,STATEN ISLAND DDSO,52 Austin Ave,10305,3703,7,71,8,2,,,,57,57,74,74,50,31,122,910,5031160080,965800,156021,R
3702760629,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7926,51,STATEN ISLAND DDSO,184 Carteret St,10307,3703,7,71,8,2,,,,57,57,244.01,24401,51,31,123,800,5079260051,915456,122970,R
3702760636,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,2040,300,STATEN ISLAND DDSO,51 Executive Way,10314,3703,7,71,6,2,,,,57,57,273.01,27301,50,31,121,100,5020400300,943343,155791,R
3702760640,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,2040,300,STATEN ISLAND DDSO,49 Executive Way,10314,3703,7,71,6,2,,,,57,57,273.01,27301,50,31,121,100,5020400300,943343,155791,R
