X,Y,OBJECTID,PROGRAM_ID,AGENCY_ID,NAME,ADDRESS,ADDRESS2,ZIPCODE,AKA,PHONE,PHONE2,PHONE3,PHONE4,PHONE5,PHONE1_DESCRIPTION,PHONE2_DESCRIPTION,PHONE3_DESCRIPTION,PHONE4_DESCRIPTION,PHONE5_DESCRIPTION,FAX,WEB_URL,EMAIL,BUSINESS_HOURS,ELIGIBILITY,FEES,INTAKE,LANGUAGES,AREA_SERVED,DOCUMENTATION,DIRECTIONS,TRANSPORTATION,QUADRANT,PAYMENT_METHODS,VOLUNTEER_OPPORTUNITIES,SEASON_START_DATE,SEASON_END_DATE,WAIT_LIST_PERIOD,HANDICAP,PUBLIC_RECORD,SEARCHABLE_AREA,DIRECTOR,TITLE,WEB_WARD,DESCRIPTION,ADDRESS_ID,KEYWORD
-77.033561932255083,38.916500930893086,1001,DCAP0401AA,DCAP0401,DCG - Public Charter School Board -  Main Office,1436 U STREET NW,Suite 401,20009,,(202) 328-2660,,,,,main Number,,,,,(202) 328-2661,http://www.dcpubliccharter.com,dcpublic@dcpubliccharter.com,"9:00 am - 5:30 pm, Monday - Friday",none,No fee,,,District of Columbia,,"Metro Rail Stop, U Street, less than 1 block",,NW,"No Payment,",,,,,,1,,Nelson Smith,Executive Director,,Charters independent public schools in the District of Columbia and then monitors and oversees those schools.  Provides information for people wanting to find out more about DC charter schools and to apply to start a school. ,301293,Schools-Charter
-77.036946082954927,38.903932909083807,1002,DCAP0401AB,DCAP0401,DCG - Public Charter - School for Arts in Learning (SAIL),1100 16TH STREET NW,,20036,SAIL,(202) 296-9100,(202) 261-0201,,,,Main Number,TTY,,,,(202) 261-0235,http:// www.dcpubliccharter.com,wvsa@wvsa.com,"8:30 am - 3:15 pm, Monday - Friday",Pre-k - 4th grade,No fee,Telephone,,District of Columbia,,,,NW,"No Payment,",,,,,,1,,Kimberly Morton,Head Teacher,,"Offers a community educational center, whose mission is to serve children with learning disabilities by teaching academic and art skills through an interdisciplinary, project-based curriculum. Emphasizes the development of the whole child:  intellectual,",243076,Schools-Charter
-77.01244438815813,38.904394992302372,1003,DCAP0093AI,DCAP0487,Unity Health Care - Walker-Jones Health Clinic,1100 1ST STREET NW,,20001,DC Healthcare Alliance,(202) 354-1120,,,,,Intake Number,,,,,,http://www.unityhealthcare.org,,"8:15am - 4:45 pm, Monday - Friday; (Walk-In only) 8:00 am and 1:00 pm, Monday - Friday; 8:00 am and Noon, Saturday","DC residents, uninsured, insured or homeless","Sliding Scale, Insurance (enrollment site for DC Healthcare Alliance Insurance program)","Telephone, By Appointment, Walk-In",English,District of Columbia,"Picture ID, Proof of Residence, Insurance Card (if covered for health care)",,For unusual circumstances which require immediate travel to a health care facility,NW,"No Payment, Private Insurance, Medicaid, Medicare, Other,",,,,,"Designated Parking, Indoor Wheelchair, Outside Ramps, Elevators or None Needed",1,,Libbie Buchele,,,"Provides primary health care to uninsured, insured, and homeless residents.   Services include pediatrics, dermatology, HIV/AIDS services, podiatry, OB-GYN, and case management.  Also provides nutrition, education and supplemental food to pregnant women,",301064,Health Care
-77.035860600194624,38.929552227178839,1004,DCAP0401AF,DCAP0401,DCG - Public Charter - Carlos Rosario International School,3101 16TH STREET NW,,20010,,(202) 234-6522,,,,,Main Number,,,,,(202) 234-6563,dcpubliccharter.com,dcpublic@dcpubliccharter.com,"8:45 am - 11:30 am, 1:00 pm - 3:45 pm, 6:00 pm - 9:00 pm, Monday - Friday",Ages 16+,,Telephone,,District of Columbia,,,,NW,,,,,,,1,,Sonia Gutierrez,Principal,,"Helps high school drop-outs and at risk youth who have limited English gain literacy, language skills, and a high school equivalent diploma.  Provides day and evening programs in citizenship knowledge, ESL proficiency and GED preparation to adult immigra",234375,Schools-Charter
-77.02322157620344,38.895086899434808,1005,DCAP0401AH,DCAP0401,DCG - Public Charter - Marriott Hospitality High School,410 8TH STREET NW,2nd Floor,20004,,(202) 737-6337,,,,,Main Number,,,,,(202) 737-7663,dcpubliccharter.com,dcpublic@dcpubliccharter.com,"8:30 am - 4:30 pm, Monday - Friday",9th - 12th grade,No fee,Telephone,,District of Columbia,,,,NW,,,,,,,1,,Dede McClure,Director,,"Provides opportunities for motivated students who are interested in exploring the hospitality industry and entering college after graduation.  Features paid internships, industry related technology, systems training, project-based learning and mentoring.",279758,Schools-Charter
-76.946305334068626,38.887137696508965,1006,DCAP0401AI,DCAP0401,DCG - Public Charter - School for Educational Evolution & Develop,4300 C STREET SE,,20019,"SEED, SCHOOL FOR EDUCATIONAL EVOLUTION AND DEVELOPMENT",(202) 248-7773,,,,,Main Number,,,,,(202) 248-3021,http://dcpubliccharter.com/,dcpublic@dcpubliccharter.com,Residential,7th - 12th grade,No fee,Telephone,,District of Columbia,,,,SE,,,,,,,1,,Dr. Richard Jung,Head of School,,"Offers a co-educational boarding school providing a nurturing environment, strong role models and a rigorous academic program to prepare students for admission to the nation's top colleges and universities.",288154,Schools-Charter
-76.997010015558516,38.8477989171068,1007,DCAP0401AJ,DCAP0401,DCG - Public Charter - SouthEast Academy of Scholastic Excellence,645 MILWAUKEE PLACE SE,,20032,,(202) 562-1980,,,,,Main Number,,,,,(202) 561-5602,dcpubliccharter.com,dcpublic@dcpubliccharter.com,"8:00 am - 4:00 pm, Monday - Friday",K - 7th grade,No fee,Telephone,,District of Columbia,,,,SE,,,,,,,1,,Dr. Elizabeth Smith,Executive Director,,"Provides an rigorous age and grade appropriate academic program within a technical environment.  Students study a core curriculum of mathematics, English, Science, Social Studies, Foreign Language, Music, Art and Physical Education choosing a college pre",1655,Schools-Charter
-77.059405885962306,38.936352550714361,1008,DCAP0403BB,DCAP0403,DCG - Fire & EMS Dept - Connecticut Avenue Station,3522 CONNECTICUT AVENUE NW,,20008,Eng 28-Tr 14 - BFC 5,(   )    -,(202) 673-3331,,,,,Public Information Office,to report fires and request ambulance,,,(202) 462-0807,,,Open 24 hours,,,,,,,,,NW,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",220960,Emergency Rescue
-77.093525954662837,38.915572802308709,1009,DCAP0403BC,DCAP0403,DCG - Fire & EMS Dept - MacArthur Blvd Station,4811 MACARTHUR BOULEVARD NW,,20007,Eng 29 - TR 5,(   )    -,(202) 673-3331,,,,,Public Information Office,to report fire and request ambulance,,,(202) 462-0807,fems.dc.gov,,Open 24 hours,,,,,,,,,NW,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",284959,Emergency Rescue
-76.933320366111658,38.890701116959178,1010,DCAP0403BD,DCAP0403,DCG - Fire & EMS Dept - 49th Street Station,50 49TH STREET NE,,20019,Eng 30 - Tr 17 - Amb 10 & 13 - Medic 22,(   )    -,(202) 673-3331,,,,,Public Information Office,to report fires and request ambulance,,,(202) 462-0807,fems.dc.gov,,Open 24 hours,,,,,,,,,NE,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",156317,Emergency Rescue
