name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,hotline_prompt,hotline1,hotline2,website,dir_prefix,dir_first,dir_mi,dir_last,dir_suffix,dir_title,dir_phone,dir_fax,dir_email,mail_street1,mail_street2,mail_city,mail_state,mail_zip,mail_zip4,latitude,longitude,type_facility,last_update,saf,mhf,mhsaf,ghf,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,onat,np,sf,md,mc,si,pi,mi,ihs,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo 
Peoria Treatment Center,,731 Sabrina Drive,Suite C,East Peoria,IL,61611,3582,Tazewell,309-699-9700,,,,,,,http://www.riverwoodgroup.com,,Misty,L,Eitenmiller,,,217-373-8200,,,731 Sabrina Drive,Suite C,East Peoria,IL,61611,3582,40.645372,-89.541609,SA,2/1/17 17:30,1,,,,1,1,1,1,1,,,,,,,,1,,,,,,,1,1,1,,1,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,1,,
Tazwood Mental Health Center Inc,DBA Tazwood Center for Wellness,111 West Washington Street,Suite 230,East Peoria,IL,61611,,Tazewell,309-694-6462,Intake,,309-347-5522,,,,http://www.tazwoodmentalhealth.com,,Ed,,Betzelberger,,Interim Rep,,,,,,,,,,40.666698,-89.581382,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,1,1,1,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,,,1,
Human Service Center,,228 NE Jefferson Street,,Peoria,IL,61654,,Peoria,309-671-8000,Intake,,309-671-8040,,,,http://www.hscpeoria.org,,Beth,,Koch,,,,,,P.O. Box 1346,,Peoria,IL,61654,,40.694023,-89.588177,SA,2/1/17 17:30,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,
" Brent R. Snell, D.O.",,228 NE Jefferson Avenue,,Peoria,IL,61603,,Peoria County,(309)671-8000,,,,,,,,,Brent,R.,Snell,D.O.,,(309)671-8000,(309)671-3711,,228 NE Jefferson Avenue,,Peoria,IL,61603,,40.694,-89.5882,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Countermeasures Inc,,456 Fulton Street,Suite 271,Peoria,IL,61602,,Peoria,309-676-7868,,,,,,,http://www.countermeasuresinc.com,,Sandra, ,Long,,,,,,,,,,,,40.692729,-89.592425,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,1,1,1,,,1,1,,1,1,1,1,,,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,,,1,1,1,1,,,1,
Rose Medical Association Inc/Peoria,,209 West Romeo Street,Garrett Avenue,Peoria,IL,61605,6507,Peoria,309-686-1600,,,,,,,http://www.rosemedical.org,,Ernest,C,Rose,,President / CEO,,,,,,,,,,40.694079,-89.59611,SA,2/1/17 17:30,1,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,1,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,1,,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,1,1,,,1,1,1,1,,1,,1,,,1,1,1,1,1,1,,
"Dr. Ernest Collins Rose, M.D.",,209 West Romeo B. Garrett Avenue,,Peoria,IL,61605,,Peoria County,(217)254-1191,,,,,,,,Dr.,Ernest,Collins,Rose,M.D.,,(217)254-1191,(309)686-1600,,209 West Romeo B. Garrett Avenue,,Peoria,IL,61605,,40.6941,-89.5961,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Human Service Center on,Richard Pryor Place,130 Richard Pryor Place,,Peoria,IL,61605,,Peoria,309-671-8084,,,,,,,http://www.hscpeoria.org,,Beth,,Koch,,,,,,,,,,,,40.688432,-89.603852,SA,2/1/17 17:30,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,1,1,,,1,,,1,,,1,1,1,1,,,,
Human Service Center on,Hamilton Boulevard,1200 Hamilton Boulevard,,Peoria,IL,61603,,Peoria,309-671-8040,,,,,,,http://www.hscpeoria.org,,Beth,,Koch,,Vice President/CFO,,,,,,,,,,40.701668,-89.597191,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,
Childrens Home Assoc of IL,Behavior Health Services ,2011 Noth Knoxville Avenue,,Peoria,IL,61603,2414,Peoria,309-687-7950,,,,,,,,,Christine,,Schilz,,COO,309-685-1047,,,2130  North Knoxville Avenue,,Peoria,IL,61603,,40.712462,-89.593913,SA,2/1/17 17:30,,1,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,1,,1,,,,1,1,,1,,,,,1,1,1,,,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,1,1,1,,,1,1,1,1,,,1,,1,,,1,1,,,,
