ZIP,COUNTY,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,COUNTYNAME
00501,36103,0.000000000,1.000000000,0.000000000,1.000000000,Suffolk County
00544,36103,0.000000000,1.000000000,0.000000000,1.000000000,Suffolk County
00601,72001,1.000000000,1.000000000,1.000000000,1.000000000,Adjuntas Municipio
00602,72003,1.000000000,1.000000000,1.000000000,1.000000000,Aguada Municipio
00603,72005,1.000000000,1.000000000,1.000000000,1.000000000,Aguadilla Municipio
00605,72005,0.000000000,0.000000000,1.000000000,1.000000000,Aguadilla Municipio
00606,72093,1.000000000,1.000000000,1.000000000,1.000000000,Maricao Municipio
00610,72011,1.000000000,1.000000000,1.000000000,1.000000000,Anasco Municipio
00611,72141,0.000000000,0.000000000,1.000000000,1.000000000,Utuado Municipio
00612,72013,1.000000000,1.000000000,1.000000000,1.000000000,Arecibo Municipio
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000,Arecibo Municipio
00617,72017,1.000000000,1.000000000,1.000000000,1.000000000,Barceloneta Municipio
00622,72023,1.000000000,1.000000000,1.000000000,1.000000000,Cabo Rojo Municipio
00623,72023,1.000000000,1.000000000,1.000000000,1.000000000,Cabo Rojo Municipio
00624,72111,0.996508728,1.000000000,1.000000000,0.996697075,Penuelas Municipio
00624,72113,0.003491272,0.000000000,0.000000000,0.003302925,Ponce Municipio
00627,72027,1.000000000,1.000000000,1.000000000,1.000000000,Camuy Municipio
00631,72081,0.000000000,0.000000000,1.000000000,1.000000000,Lares Municipio
00637,72121,1.000000000,1.000000000,1.000000000,1.000000000,Sabana Grande Municipio
00638,72039,1.000000000,1.000000000,1.000000000,1.000000000,Ciales Municipio
00641,72141,1.000000000,1.000000000,1.000000000,1.000000000,Utuado Municipio
00646,72137,0.014056980,0.001150748,0.000000000,0.013178186,Toa Baja Municipio
00646,72051,0.985943020,0.998849252,1.000000000,0.986821814,Dorado Municipio
00647,72055,1.000000000,1.000000000,1.000000000,1.000000000,Guanica Municipio
00650,72054,1.000000000,1.000000000,1.000000000,1.000000000,Florida Municipio
00652,72013,1.000000000,1.000000000,1.000000000,1.000000000,Arecibo Municipio
00653,72055,1.000000000,1.000000000,1.000000000,1.000000000,Guanica Municipio
00656,72059,1.000000000,1.000000000,1.000000000,1.000000000,Guayanilla Municipio
00659,72081,0.038746817,0.189349112,0.194805195,0.050378091,Lares Municipio
00659,72065,0.961253183,0.810650888,0.805194805,0.949621909,Hatillo Municipio
00660,72067,1.000000000,1.000000000,1.000000000,1.000000000,Hormigueros Municipio
00662,72071,1.000000000,1.000000000,1.000000000,1.000000000,Isabela Municipio
00664,72073,1.000000000,1.000000000,1.000000000,1.000000000,Jayuya Municipio
00667,72079,1.000000000,1.000000000,1.000000000,1.000000000,Lajas Municipio
00669,72081,1.000000000,1.000000000,1.000000000,1.000000000,Lares Municipio
00670,72083,1.000000000,1.000000000,1.000000000,1.000000000,Las Marias Municipio
00674,72091,1.000000000,1.000000000,1.000000000,1.000000000,Manati Municipio
00676,72099,1.000000000,1.000000000,1.000000000,1.000000000,Moca Municipio
00677,72117,1.000000000,1.000000000,1.000000000,1.000000000,Rincon Municipio
00678,72115,1.000000000,1.000000000,1.000000000,1.000000000,Quebradillas Municipio
00680,72097,0.989320866,0.999228990,1.000000000,0.990777394,Mayaguez Municipio
00680,72011,0.010679134,0.000771010,0.000000000,0.009222606,Anasco Municipio
00681,72097,0.000000000,0.000000000,1.000000000,1.000000000,Mayaguez Municipio
00682,72097,1.000000000,1.000000000,1.000000000,1.000000000,Mayaguez Municipio
00683,72125,1.000000000,1.000000000,1.000000000,1.000000000,San German Municipio
00685,72131,1.000000000,1.000000000,1.000000000,1.000000000,San Sebastian Municipio
00687,72101,1.000000000,1.000000000,1.000000000,1.000000000,Morovis Municipio
00688,72013,1.000000000,1.000000000,1.000000000,1.000000000,Arecibo Municipio
00690,72005,1.000000000,1.000000000,1.000000000,1.000000000,Aguadilla Municipio
00692,72143,1.000000000,1.000000000,1.000000000,1.000000000,Vega Alta Municipio
00693,72145,1.000000000,1.000000000,1.000000000,1.000000000,Vega Baja Municipio
00698,72153,1.000000000,1.000000000,1.000000000,1.000000000,Yauco Municipio
00703,72007,1.000000000,1.000000000,1.000000000,1.000000000,Aguas Buenas Municipio
00704,72123,1.000000000,1.000000000,1.000000000,1.000000000,Salinas Municipio
00705,72009,1.000000000,1.000000000,1.000000000,1.000000000,Aibonito Municipio
00707,72095,1.000000000,1.000000000,1.000000000,1.000000000,Maunabo Municipio
00714,72015,1.000000000,1.000000000,1.000000000,1.000000000,Arroyo Municipio
00715,72113,1.000000000,1.000000000,1.000000000,1.000000000,Ponce Municipio
00716,72113,1.000000000,1.000000000,1.000000000,1.000000000,Ponce Municipio
00717,72113,1.000000000,1.000000000,1.000000000,1.000000000,Ponce Municipio
00718,72103,1.000000000,1.000000000,1.000000000,1.000000000,Naguabo Municipio
