,Crop Production,Animal Production and Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping",Support Activities for Agriculture and Forestry,Oil and Gas Extraction,Mining (except Oil and Gas),Support Activities for Mining,Utilities,Construction of Buildings,Heavy and Civil Engineering Construction,Specialty Trade Contractors,Food Manufacturing,Beverage and Tobacco Product Manufacturing,Textile Mills,Textile Product Mills,Apparel Manufacturing,Leather and Allied Product Manufacturing,Wood Product Manufacturing,Paper Manufacturing,Printing and Related Support Activities,Petroleum and Coal Products Manufacturing,Chemical Manufacturing,Plastics and Rubber Products Manufacturing,Nonmetallic Mineral Product Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,Computer and Electronic Product Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Transportation Equipment Manufacturing,Furniture and Related Product Manufacturing,Miscellaneous Manufacturing,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Wholesale Electronic Markets and Agents and Brokers,Motor Vehicle and Parts Dealers,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equipment and Supplies Dealers,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Air Transportation,Rail Transportation,Water Transportation,Truck Transportation,Transit and Ground Passenger Transportation,Pipeline Transportation,Scenic and Sightseeing Transportation,Support Activities for Transportation,Postal Service,Couriers and Messengers,Warehousing and Storage,Publishing Industries (except Internet),Motion Picture and Sound Recording Industries,Broadcasting (except Internet),Telecommunications,"Data Processing, Hosting, and Related Services",Other Information Services,Monetary Authorities-Central Bank,Credit Intermediation and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Insurance Carriers and Related Activities,"Funds, Trusts, and Other Financial Vehicles",Real Estate,Rental and Leasing Services,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support Services,Waste Management and Remediation Services,Educational Services,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Social Assistance,"Performing Arts, Spectator Sports, and Related Industries","Museums, Historical Sites, and Similar Institutions","Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,Personal and Laundry Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Private Households,"Executive, Legislative, and Other General Government Support","Justice, Public Order, and Safety Activities",Administration of Human Resource Programs,Administration of Environmental Quality Programs,"Administration of Housing Programs, Urban Planning, and Community Development",Administration of Economic Programs,Space Research and Technology,National Security and International Affairs,Crop Production Flags,Animal Production and Aquaculture Flags,Forestry and Logging Flags,"Fishing, Hunting and Trapping Flags",Support Activities for Agriculture and Forestry Flags,Oil and Gas Extraction Flags,Mining (except Oil and Gas) Flags,Support Activities for Mining Flags,Utilities Flags,Construction of Buildings Flags,Heavy and Civil Engineering Construction Flags,Specialty Trade Contractors Flags,Food Manufacturing Flags,Beverage and Tobacco Product Manufacturing Flags,Textile Mills Flags,Textile Product Mills Flags,Apparel Manufacturing Flags,Leather and Allied Product Manufacturing Flags,Wood Product Manufacturing Flags,Paper Manufacturing Flags,Printing and Related Support Activities Flags,Petroleum and Coal Products Manufacturing Flags,Chemical Manufacturing Flags,Plastics and Rubber Products Manufacturing Flags,Nonmetallic Mineral Product Manufacturing Flags,Primary Metal Manufacturing Flags,Fabricated Metal Product Manufacturing Flags,Machinery Manufacturing Flags,Computer and Electronic Product Manufacturing Flags,"Electrical Equipment, Appliance, and Component Manufacturing Flags",Transportation Equipment Manufacturing Flags,Furniture and Related Product Manufacturing Flags,Miscellaneous Manufacturing Flags,"Merchant Wholesalers, Durable Goods Flags","Merchant Wholesalers, Nondurable Goods Flags",Wholesale Electronic Markets and Agents and Brokers Flags,Motor Vehicle and Parts Dealers Flags,Furniture and Home Furnishings Stores Flags,Electronics and Appliance Stores Flags,Building Material and Garden Equipment and Supplies Dealers Flags,Food and Beverage Stores Flags,Health and Personal Care Stores Flags,Gasoline Stations Flags,Clothing and Clothing Accessories Stores Flags,"Sporting Goods, Hobby, Musical Instrument, and Book Stores Flags",General Merchandise Stores Flags,Miscellaneous Store Retailers Flags,Nonstore Retailers Flags,Air Transportation Flags,Rail Transportation Flags,Water Transportation Flags,Truck Transportation Flags,Transit and Ground Passenger Transportation Flags,Pipeline Transportation Flags,Scenic and Sightseeing Transportation Flags,Support Activities for Transportation Flags,Postal Service Flags,Couriers and Messengers Flags,Warehousing and Storage Flags,Publishing Industries (except Internet) Flags,Motion Picture and Sound Recording Industries Flags,Broadcasting (except Internet) Flags,Telecommunications Flags,"Data Processing, Hosting, and Related Services Flags",Other Information Services Flags,Monetary Authorities-Central Bank Flags,Credit Intermediation and Related Activities Flags,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities Flags",Insurance Carriers and Related Activities Flags,"Funds, Trusts, and Other Financial Vehicles Flags",Real Estate Flags,Rental and Leasing Services Flags,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Flags,"Professional, Scientific, and Technical Services Flags",Management of Companies and Enterprises Flags,Administrative and Support Services Flags,Waste Management and Remediation Services Flags,Educational Services Flags,Ambulatory Health Care Services Flags,Hospitals Flags,Nursing and Residential Care Facilities Flags,Social Assistance Flags,"Performing Arts, Spectator Sports, and Related Industries Flags","Museums, Historical Sites, and Similar Institutions Flags","Amusement, Gambling, and Recreation Industries Flags",Accommodation Flags,Food Services and Drinking Places Flags,Repair and Maintenance Flags,Personal and Laundry Services Flags,"Religious, Grantmaking, Civic, Professional, and Similar Organizations Flags",Private Households Flags,"Executive, Legislative, and Other General Government Support Flags","Justice, Public Order, and Safety Activities Flags",Administration of Human Resource Programs Flags,Administration of Environmental Quality Programs Flags,"Administration of Housing Programs, Urban Planning, and Community Development Flags",Administration of Economic Programs Flags,Space Research and Technology Flags,National Security and International Affairs Flags
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1
2001,1868,2002,2322,2307,2374,4306,3722,4693,5769,4253,4809,4038,2900,6414,4593,2458,2838,2323,2679,3576,3564,4122,4560,2883,3783,3781,3339,4069,4927,3408,4038,2625,3165,4712,4767,5256,3382,2722,3072,2403,1710,2460,1718,2516,1672,1672,2154,3695,4555,,4458,3089,3506,8360,2090,3337,2829,2654,2628,6064,4436,6590,5685,4444,3467,5435,6601,18222,5390,5501,3519,2883,7625,5798,6745,2831,3711,3375,3578,3715,2607,1754,4589,3330,1701,2403,1379,2516,1839,2576,1723,3278,4192,4161,4055,4219,4324,,4183,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,11,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2002,1899,2017,2389,2365,2394,3230,3685,4236,6008,4301,5010,4070,2979,7697,4762,2564,3219,2439,2744,3714,3496,4430,4580,3052,3733,3935,3420,4188,5185,3553,4290,2718,3268,4558,4891,5163,3482,2756,3029,2449,1711,2564,1784,2673,1712,1827,2161,3627,4088,,4513,3160,3557,6521,2152,3481,2821,2765,2638,5748,4569,6593,5484,4280,3404,5932,6688,19488,5427,5807,3633,2935,8011,5854,6708,2848,3878,3506,3620,3909,2727,1838,4758,3558,1749,2506,1429,2559,1899,2687,1890,3414,4473,4449,4336,4494,4732,,4383,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,-2,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2003,1971,2073,2433,2409,2478,3043,3936,4738,6173,4281,5315,4100,3024,5940,4978,2624,3436,2572,2824,3843,3577,4436,4965,3068,3898,4113,3473,4364,4858,3763,4395,2825,3366,4567,5101,5295,3569,2825,3057,2456,1766,2639,1784,2613,1737,1819,2205,3892,4145,,4683,3186,3727,6272,2058,3572,2806,2845,2800,6015,4877,7513,5322,4578,3345,6103,6674,18368,5871,4997,3728,3091,7539,5971,7300,2947,4066,3585,3699,4108,2766,1923,5221,3624,1957,2614,1477,2585,1919,2808,1851,3510,4547,4508,4395,4568,4645,,4438,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-2,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2004,2008,2187,2404,2428,2552,3647,3742,4371,6394,4216,5634,4124,3053,6087,4635,2672,3546,2592,2880,3931,3750,4316,5396,3234,4007,4393,3649,4586,5420,3938,4540,3010,3573,4832,5266,5685,3569,2913,3131,2597,1814,2751,1912,2748,1751,2004,2340,4004,4361,,5187,3278,3742,6586,2197,3686,2645,2988,2831,6351,4801,7472,5374,5256,3874,6625,7530,22588,6186,6663,3960,3243,7940,6257,7848,3126,4212,3697,3822,4343,2834,1969,5111,3723,1906,2883,1490,2625,1964,2908,1926,3665,4637,4603,4498,4697,4745,,4499,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2005,2018,2204,2597,2323,2605,6185,3980,5565,6399,4344,5382,4179,3138,7600,4872,2891,3694,2894,3119,4087,3824,4396,5532,3339,4153,4445,3688,4707,5908,4128,4444,3024,3721,5015,5383,6133,3620,2889,3324,2660,1866,2885,2054,2748,1769,1936,2415,4253,4402,,5371,3362,3839,6268,2480,3808,2692,2966,2905,6719,4930,7603,5543,5633,3930,7007,7592,24271,6335,7251,4091,3275,8311,6555,7910,3256,4261,3798,3905,4454,2858,1994,5458,3849,1931,3069,1517,2676,2029,3071,2012,3795,4777,4758,4648,4833,4972,,4627,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2006,2116,2344,2635,2614,2643,5766,4126,5607,6750,4587,5701,4390,3212,7696,4690,3105,3823,3169,3059,4211,3918,4508,5495,3385,4595,4650,3844,4902,6217,4359,4591,3199,3818,5270,5613,6508,3689,2979,3468,2738,1924,3042,2102,2791,1759,1896,2625,4254,4471,,5885,3489,3955,6488,2341,3901,2461,3094,2939,6861,5134,8289,5998,5842,4355,7419,8556,26494,6758,7616,4371,3391,8866,6869,8447,3335,4591,4063,3983,4618,2948,2062,5680,4213,2054,3165,1605,2803,2075,3204,2131,3979,5342,5330,5181,5385,5336,,4906,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,12,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2007,2192,2439,2705,2732,2774,8365,4346,7770,6965,4821,6105,4651,3294,7586,4901,3483,4128,3297,3171,4320,4435,4791,5766,3523,4571,5191,4041,5002,6635,4618,4833,3299,4185,5479,6002,7026,3831,3091,3597,2815,2021,3139,2318,2841,1805,1953,2880,4562,4954,4083,6216,3598,4147,6651,2577,4055,2516,3157,3131,7439,5458,9072,6452,6493,4815,7860,9352,30567,7352,8104,4648,3456,9897,7355,9267,3574,4735,4172,4071,4876,3061,2111,6129,4271,2099,3301,1677,2900,2197,3349,2259,4068,5295,5309,5158,5412,5395,,4933,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2008,2252,2478,2799,2566,2916,7153,4659,7058,7244,5066,6452,4887,3392,6437,4795,3739,4233,3466,3181,4462,4004,5183,5957,3609,4626,4789,4130,5202,6646,4682,4947,3448,4150,5620,5748,7237,3798,3114,3872,2846,2045,3137,2757,2848,1799,2009,2810,4537,4710,3822,7137,3702,4201,7881,2458,4308,2531,3195,3286,7825,5201,9076,6574,6618,5207,8667,9172,30167,7398,9378,4624,3665,9988,7552,8794,3572,4838,4343,4199,5039,3129,2181,5903,4422,2145,3358,1702,3040,2197,3534,2389,4238,5592,5605,5445,5709,5739,,5267,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2009,2261,2453,2751,2560,2987,6243,4332,5315,7383,4997,6760,4878,3403,6760,4605,3835,4247,3414,3050,4670,3874,5280,5934,3696,4371,4568,4036,5136,6599,4778,5024,3308,4016,5510,5689,7210,3766,3071,3705,2820,2025,3134,2269,2718,1844,2069,2594,4605,4513,3435,6821,3562,4213,8109,2293,4192,2738,3663,3335,7686,5176,8911,6564,6784,5280,9418,8453,23370,7265,8692,4405,3602,9528,7408,7949,3471,4953,4524,4244,5158,3155,2226,6081,4609,2152,3196,1661,2984,2170,3560,2443,4367,5846,5843,5684,5942,5903,,5448,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
