,Crop Production,Animal Production and Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping",Support Activities for Agriculture and Forestry,Oil and Gas Extraction,Mining (except Oil and Gas),Support Activities for Mining,Utilities,Construction of Buildings,Heavy and Civil Engineering Construction,Specialty Trade Contractors,Food Manufacturing,Beverage and Tobacco Product Manufacturing,Textile Mills,Textile Product Mills,Apparel Manufacturing,Leather and Allied Product Manufacturing,Wood Product Manufacturing,Paper Manufacturing,Printing and Related Support Activities,Petroleum and Coal Products Manufacturing,Chemical Manufacturing,Plastics and Rubber Products Manufacturing,Nonmetallic Mineral Product Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,Computer and Electronic Product Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Transportation Equipment Manufacturing,Furniture and Related Product Manufacturing,Miscellaneous Manufacturing,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Wholesale Electronic Markets and Agents and Brokers,Motor Vehicle and Parts Dealers,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equipment and Supplies Dealers,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Air Transportation,Rail Transportation,Water Transportation,Truck Transportation,Transit and Ground Passenger Transportation,Pipeline Transportation,Scenic and Sightseeing Transportation,Support Activities for Transportation,Postal Service,Couriers and Messengers,Warehousing and Storage,Publishing Industries (except Internet),Motion Picture and Sound Recording Industries,Broadcasting (except Internet),Telecommunications,"Data Processing, Hosting, and Related Services",Other Information Services,Monetary Authorities-Central Bank,Credit Intermediation and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Insurance Carriers and Related Activities,"Funds, Trusts, and Other Financial Vehicles",Real Estate,Rental and Leasing Services,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support Services,Waste Management and Remediation Services,Educational Services,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Social Assistance,"Performing Arts, Spectator Sports, and Related Industries","Museums, Historical Sites, and Similar Institutions","Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,Personal and Laundry Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Private Households,"Executive, Legislative, and Other General Government Support","Justice, Public Order, and Safety Activities",Administration of Human Resource Programs,Administration of Environmental Quality Programs,"Administration of Housing Programs, Urban Planning, and Community Development",Administration of Economic Programs,Space Research and Technology,National Security and International Affairs,Crop Production Flags,Animal Production and Aquaculture Flags,Forestry and Logging Flags,"Fishing, Hunting and Trapping Flags",Support Activities for Agriculture and Forestry Flags,Oil and Gas Extraction Flags,Mining (except Oil and Gas) Flags,Support Activities for Mining Flags,Utilities Flags,Construction of Buildings Flags,Heavy and Civil Engineering Construction Flags,Specialty Trade Contractors Flags,Food Manufacturing Flags,Beverage and Tobacco Product Manufacturing Flags,Textile Mills Flags,Textile Product Mills Flags,Apparel Manufacturing Flags,Leather and Allied Product Manufacturing Flags,Wood Product Manufacturing Flags,Paper Manufacturing Flags,Printing and Related Support Activities Flags,Petroleum and Coal Products Manufacturing Flags,Chemical Manufacturing Flags,Plastics and Rubber Products Manufacturing Flags,Nonmetallic Mineral Product Manufacturing Flags,Primary Metal Manufacturing Flags,Fabricated Metal Product Manufacturing Flags,Machinery Manufacturing Flags,Computer and Electronic Product Manufacturing Flags,"Electrical Equipment, Appliance, and Component Manufacturing Flags",Transportation Equipment Manufacturing Flags,Furniture and Related Product Manufacturing Flags,Miscellaneous Manufacturing Flags,"Merchant Wholesalers, Durable Goods Flags","Merchant Wholesalers, Nondurable Goods Flags",Wholesale Electronic Markets and Agents and Brokers Flags,Motor Vehicle and Parts Dealers Flags,Furniture and Home Furnishings Stores Flags,Electronics and Appliance Stores Flags,Building Material and Garden Equipment and Supplies Dealers Flags,Food and Beverage Stores Flags,Health and Personal Care Stores Flags,Gasoline Stations Flags,Clothing and Clothing Accessories Stores Flags,"Sporting Goods, Hobby, Musical Instrument, and Book Stores Flags",General Merchandise Stores Flags,Miscellaneous Store Retailers Flags,Nonstore Retailers Flags,Air Transportation Flags,Rail Transportation Flags,Water Transportation Flags,Truck Transportation Flags,Transit and Ground Passenger Transportation Flags,Pipeline Transportation Flags,Scenic and Sightseeing Transportation Flags,Support Activities for Transportation Flags,Postal Service Flags,Couriers and Messengers Flags,Warehousing and Storage Flags,Publishing Industries (except Internet) Flags,Motion Picture and Sound Recording Industries Flags,Broadcasting (except Internet) Flags,Telecommunications Flags,"Data Processing, Hosting, and Related Services Flags",Other Information Services Flags,Monetary Authorities-Central Bank Flags,Credit Intermediation and Related Activities Flags,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities Flags",Insurance Carriers and Related Activities Flags,"Funds, Trusts, and Other Financial Vehicles Flags",Real Estate Flags,Rental and Leasing Services Flags,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Flags,"Professional, Scientific, and Technical Services Flags",Management of Companies and Enterprises Flags,Administrative and Support Services Flags,Waste Management and Remediation Services Flags,Educational Services Flags,Ambulatory Health Care Services Flags,Hospitals Flags,Nursing and Residential Care Facilities Flags,Social Assistance Flags,"Performing Arts, Spectator Sports, and Related Industries Flags","Museums, Historical Sites, and Similar Institutions Flags","Amusement, Gambling, and Recreation Industries Flags",Accommodation Flags,Food Services and Drinking Places Flags,Repair and Maintenance Flags,Personal and Laundry Services Flags,"Religious, Grantmaking, Civic, Professional, and Similar Organizations Flags",Private Households Flags,"Executive, Legislative, and Other General Government Support Flags","Justice, Public Order, and Safety Activities Flags",Administration of Human Resource Programs Flags,Administration of Environmental Quality Programs Flags,"Administration of Housing Programs, Urban Planning, and Community Development Flags",Administration of Economic Programs Flags,Space Research and Technology Flags,National Security and International Affairs Flags
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1
2001,169,114,-26,8,55,8,26,4,1049,1117,781,2311,348,229,-358,-128,-2387,-80,-47,-788,-256,43,89,-526,5,-325,-434,-1593,432,-113,-1698,-453,-621,-1,326,359,1537,-107,-349,683,960,1056,560,113,263,1198,44,-538,-3760,0,20,252,1129,2,14,71,6,-629,161,-2159,329,-800,196,458,178,-12,-613,-4510,-815,-113,3279,197,-57,-588,-7,-1312,326,5049,6362,-4027,1073,2608,1092,-13,1096,-54,6922,860,1012,2284,400,-912,-576,-220,-17,13,-359,,-6,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2002,91,129,4,-2,45,17,34,-6,-807,817,-72,1900,-160,33,-105,-114,-929,-56,-14,9,-475,-9,-889,-139,-359,-40,-767,-1178,-5729,-382,247,-169,-164,-962,74,528,937,822,76,1197,3259,-1721,172,3131,894,-864,909,-162,1670,,-31,-31,112,-17,70,179,-3,-267,-204,-1187,-779,867,7140,-221,-402,-29,221,-15,219,-133,1709,-239,59,-8605,-1636,3051,-103,4778,4519,6078,2143,2628,1582,-210,2139,1107,4088,407,932,1189,59,-2325,-361,-261,-38,27,461,,34,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,-2,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2003,270,66,8,3,53,-13,62,38,370,1268,637,3247,1017,-136,-149,19,-71,8,-25,11,-578,33,-539,-1,-9,-453,-331,-593,347,57,-818,-217,-140,904,1283,300,790,496,-427,989,2591,2987,335,1431,1609,2638,179,279,50,,114,212,653,8,24,151,-4,180,403,-632,2144,1692,-267,119,1364,-48,1514,103,2779,-12,2079,200,6,5558,752,5729,-109,4171,4184,5810,2501,-688,-208,113,1957,734,7444,509,1089,1130,140,4438,-669,-341,-62,-27,13,,-36,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-2,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2004,-25,1,31,-11,42,1,-74,-15,-586,967,-267,1204,-629,49,-226,-38,-741,2,220,-222,362,59,-164,-594,13,389,-124,372,6197,-92,-543,121,-91,740,1157,569,-268,423,966,831,-1510,1218,66,2527,243,1709,555,224,696,0,-94,415,-45,3,33,222,1,417,102,1444,-326,107,-378,-281,13,-7,1672,4299,-807,19,1239,48,41,7964,1347,3972,980,4600,4323,-5688,-381,5435,1415,279,2460,407,4953,538,796,721,445,-2700,981,21,78,14,175,,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2005,243,162,9,1,90,10,204,30,673,2432,716,4667,551,62,5,-38,-8,-13,64,267,-147,51,179,562,165,-85,543,-16,140,92,-2,135,213,1655,1236,541,777,-245,-953,583,4043,-792,431,1312,-879,-3544,484,318,135,,169,566,683,17,60,422,1,171,-99,1597,375,-195,-193,-311,377,-4,3202,3508,1281,-124,1397,-82,-57,8790,-5,5037,358,10466,6274,1339,2283,3573,1013,462,2520,670,5945,681,1323,1507,157,2203,1310,314,106,-48,58,,-4,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2006,130,93,11,5,82,19,68,17,-15,2336,503,4068,86,40,-107,-17,-244,4,-20,-199,-151,66,-712,-384,-174,-42,217,211,-169,30,-733,11,67,1059,522,515,-292,767,1258,995,1290,762,257,765,444,4026,691,94,231,,85,373,1134,-2,75,291,-1,117,438,344,432,1192,-1004,98,-93,0,1200,3021,1374,111,1442,-216,51,6340,305,3498,88,4653,4610,5086,845,1200,1512,-492,1895,25,6558,378,1719,1746,357,252,-640,-25,15,-26,144,,3,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,12,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2007,194,121,-33,2,39,7,37,19,-45,1950,429,5312,424,107,-24,-23,-262,2,-94,-59,-284,55,-907,-161,75,-32,150,71,-468,-51,116,16,1,1106,480,608,485,293,829,76,-1036,199,106,2068,1835,1568,642,107,-832,0,92,58,1319,3,36,-87,3,791,-100,-165,932,163,-70,47,279,18,-1669,2620,494,162,1408,181,0,7742,221,4574,267,4690,4119,5685,2276,2216,861,929,2404,1320,7740,333,638,899,348,971,779,181,67,117,117,,2,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2008,259,121,-5,-1,33,21,-29,81,334,-155,761,-1198,-135,-25,-124,-119,-401,9,-242,-184,-818,22,-1183,-217,-58,-115,-553,-138,13,-157,984,-374,-535,-965,-900,-58,-1598,-794,171,-111,3030,2525,38,-977,78,2843,-94,6,1378,1,4,-494,538,-2,70,-14,2,-378,350,-425,1509,193,-5922,57,408,-1,-1875,-2864,394,141,522,-215,-14,3595,602,-853,43,6331,4273,4818,2179,3394,1617,17,1591,39,3816,122,1416,1616,182,179,397,168,25,22,143,,1,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
2009,229,29,-4,2,13,7,-60,-27,14,-1296,671,-2821,228,14,-58,-115,-704,-65,-196,-498,-691,2,476,-475,-400,-432,-1286,-1281,-1713,-408,-878,-585,-635,-2198,-843,-397,-326,-104,-360,-387,-1083,-224,214,1515,-192,184,-62,-26,-396,1,-37,-385,470,-4,14,-561,-8,-903,-270,-2103,-677,-415,259,-114,559,28,-2039,-2821,-1464,-141,-238,-426,-33,-2728,-1588,-1894,-335,2266,6960,-2947,347,1439,699,-392,1535,-49,4189,343,570,573,96,-1678,-776,-346,-81,-42,-158,,-5,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,-2,12
