summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",571070,582670,11600,0.020312746,19710,6330,13380,47060,38010,21560,59810, , , 
2,11-0000,Management Occupations,28980,29530,550,0.018978606,830,300,530,106050,93080,60630,128760, , , 
3,11-1000,Top Executives,10210,10450,240,0.023506366,300,120,180,n/a,n/a,n/a,n/a, , , 
4,11-1011,Chief Executives,1630,1640,10,0.006134969,40,10,30,150470,131660,83480,183960,Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,7310,7550,240,0.032831737,240,120,120,111070,91630,58350,137420,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,1270,1270,0,0,30,0,30,83870,84420,71120,90240,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1550,1590,40,0.025806452,50,20,30,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,90,90,0,0,0,0,0,106470,96320,65120,127150,Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,320,330,10,0.03125,20,10,10,131290,124540,77300,158280,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,770,790,20,0.025974026,30,10,20,127160,114190,68990,156250,Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,370,380,10,0.027027027,10,0,10,93880,89560,57990,111830,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,6010,6150,140,0.023294509,170,70,100,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,1040,1050,10,0.009615385,20,10,10,93900,88430,57270,112220,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,1480,1520,40,0.027027027,40,20,20,115890,109970,84760,131450,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,1840,1860,20,0.010869565,40,10,30,116900,107090,75340,137680,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,350,380,30,0.085714286,30,20,10,118890,99030,72540,142070,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,300,310,10,0.033333333,10,0,10,99750,90920,70730,114260,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",160,160,0,0,0,0,0,86070,82780,61240,98490,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,110,110,0,0,0,0,0,97550,93550,75830,108420,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,590,600,10,0.016949153,30,10,20,96010,87450,59010,114500,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,160,160,0,0,0,0,0,104620,92830,67860,123000,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,11210,11340,130,0.011596789,300,80,220,n/a,n/a,n/a,n/a, , , 
4,11-9021,Construction Managers,1230,1260,30,0.024390244,30,10,20,85790,81230,57120,100120,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",270,270,0,0,10,0,10,45000,38690,30600,52200,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",920,920,0,0,20,0,20,98320,100020,74110,110430,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",800,820,20,0.025,30,10,20,99690,81570,47550,125760,Master's degree,5 years or more,None
4,11-9039,"Education Administrators, All Other",60,60,0,0,0,0,0,92780,95210,67180,105580,Bachelor's degree,Less than 5 years,None
4,11-9041,Architectural and Engineering Managers,390,410,20,0.051282051,20,10,10,145550,136110,97550,169560,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,590,600,10,0.016949153,20,10,10,60830,55230,42040,70230,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,1820,1860,40,0.021978022,60,20,40,102820,91490,67480,120490,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,160,160,0,0,0,0,0,119790,110710,83200,138090,Bachelor's degree,5 years or more,None
4,11-9131,Postmasters and Mail Superintendents,840,830,-10,-0.011904762,20,0,20,63810,60640,49070,71180,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",390,400,10,0.025641026,20,10,10,84780,78170,50550,101900,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,870,880,10,0.011494253,30,10,20,72620,68580,47090,85380,Bachelor's degree,5 years or more,None
4,11-9161,Emergency Management Directors,90,90,0,0,0,0,0,72820,71450,56550,80950,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",1220,1230,10,0.008196721,30,0,30,91400,86470,56260,108970,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,30970,31480,510,0.016467549,900,270,630,66690,61290,42550,78760, , , 
3,13-1000,Business Operations Specialists,18370,18760,390,0.021230267,500,200,300,n/a,n/a,n/a,n/a, , , 
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",540,550,10,0.018518519,20,10,10,62430,61450,37140,75070,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1080,1120,40,0.037037037,40,20,20,61120,58520,43370,70000,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1031,"Claims Adjusters, Examiners, and Investigators",2350,2360,10,0.004255319,50,0,50,61600,61400,42920,70940,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1041,Compliance Officers,1220,1230,10,0.008196721,20,0,20,62400,59120,45690,70750,Bachelor's degree,None,Moderate-term on-the-job training
4,13-1051,Cost Estimators,700,720,20,0.028571429,30,10,20,65010,62320,43940,75540,Bachelor's degree,None,None
4,13-1071,Human Resources Specialists,1250,1280,30,0.024,30,10,20,67240,57680,38920,81400,Bachelor's degree,None,None
4,13-1074,Farm Labor Contractors,70,70,0,0,0,0,0,n/a,n/a,n/a,n/a,Less than high school,Less than 5 years,Short-term on-the-job training
4,13-1075,Labor Relations Specialists,910,900,-10,-0.010989011,10,0,10,69200,64120,49460,79070,Bachelor's degree,None,None
4,13-1081,Logisticians,170,180,10,0.058823529,10,10,0,70150,66650,48000,81230,Bachelor's degree,None,None
4,13-1111,Management Analysts,2940,3000,60,0.020408163,70,30,40,78150,70210,47400,93530,Bachelor's degree,Less than 5 years,None
4,13-1121,"Meeting, Convention, and Event Planners",440,470,30,0.068181818,30,20,10,46260,42890,32010,53390,Bachelor's degree,None,None
4,13-1131,Fundraisers,340,360,20,0.058823529,20,10,10,56460,53760,27370,71000,Bachelor's degree,None,None
4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",850,850,0,0,10,0,10,54510,49380,39800,61870,Bachelor's degree,None,None
4,13-1151,Training and Development Specialists,1500,1540,40,0.026666667,40,20,20,59230,57180,39130,69280,Bachelor's degree,Less than 5 years,None
4,13-1161,Market Research Analysts and Marketing Specialists,1500,1590,90,0.06,60,40,20,62830,57620,35900,76290,Bachelor's degree,None,None
4,13-1199,"Business Operations Specialists, All Other",2340,2360,20,0.008547009,40,10,30,69320,66280,44670,81640,High school diploma or equivalent,None,None
3,13-2000,Financial Specialists,12590,12720,130,0.010325655,400,70,330,n/a,n/a,n/a,n/a, , , 
4,13-2011,Accountants and Auditors,5900,6000,100,0.016949153,220,50,170,69100,65280,46020,80640,Bachelor's degree,None,None
4,13-2021,Appraisers and Assessors of Real Estate,420,420,0,0,0,0,0,53900,53010,40740,60490,Bachelor's degree,None,Long-term on-the-job training
4,13-2031,Budget Analysts,590,600,10,0.016949153,30,10,20,66080,65710,49330,74460,Bachelor's degree,None,None
4,13-2041,Credit Analysts,110,110,0,0,0,0,0,83890,75580,53990,98840,Bachelor's degree,None,None
4,13-2051,Financial Analysts,790,800,10,0.012658228,30,10,20,78920,70570,49110,93830,Bachelor's degree,None,None
4,13-2052,Personal Financial Advisors,620,630,10,0.016129032,20,10,10,110210,89160,57980,136320,Bachelor's degree,None,None
4,13-2053,Insurance Underwriters,880,860,-20,-0.022727273,20,0,20,73870,71030,47920,86840,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2071,Credit Counselors,110,110,0,0,0,0,0,44720,41410,32720,50720,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2072,Loan Officers,690,690,0,0,10,0,10,73070,59180,39230,90000,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1880,1880,0,0,60,0,60,55480,50710,41870,62280,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2082,Tax Preparers,210,210,0,0,0,0,0,53350,36160,26950,66550,High school diploma or equivalent,None,Moderate-term on-the-job training
4,13-2099,"Financial Specialists, All Other",370,370,0,0,0,0,0,57920,47820,34720,69530,Bachelor's degree,None,Moderate-term on-the-job training
2,15-0000,Computer and Mathematical Occupations,16800,17370,570,0.033928571,550,280,270,72200,70880,46300,85150, , , 
3,15-1100,Computer Occupations,16240,16770,530,0.032635468,520,270,250,n/a,n/a,n/a,n/a, , , 
4,15-1111,Computer and Information Research Scientists,180,190,10,0.055555556,0,0,0,88690,86310,65300,100390,Doctoral or professional degree,None,None
4,15-1121,Computer Systems Analysts,3340,3470,130,0.038922156,120,70,50,74050,74430,54220,83960,Bachelor's degree,None,None
4,15-1122,Information Security Analysts,190,210,20,0.105263158,10,10,0,89080,85140,55600,105820,Bachelor's degree,Less than 5 years,None
4,15-1131,Computer Programmers,3080,3110,30,0.00974026,90,10,80,76180,74080,55590,86470,Bachelor's degree,None,None
4,15-1132,"Software Developers, Applications",1980,2090,110,0.055555556,80,60,20,81420,78360,55840,94210,Bachelor's degree,None,None
4,15-1133,"Software Developers, Systems Software",650,690,40,0.061538462,30,20,10,88380,83260,59180,102980,Bachelor's degree,None,None
4,15-1134,Web Developers,600,630,30,0.05,30,20,10,59730,58700,39520,69840,Associate's degree,None,None
4,15-1141,Database Administrators,760,770,10,0.013157895,10,0,10,75470,79750,51240,87580,Bachelor's degree,Less than 5 years,None
4,15-1142,Network and Computer Systems Administrators,1580,1600,20,0.012658228,30,10,20,71000,72050,49160,81920,Bachelor's degree,None,None
4,15-1143,Computer Network Architects,480,490,10,0.020833333,20,10,10,90110,86580,62400,103970,Bachelor's degree,5 years or more,None
4,15-1151,Computer User Support Specialists,2450,2550,100,0.040816327,80,50,30,47170,45150,31010,55260,"Some college, no degree",None,Moderate-term on-the-job training
4,15-1152,Computer Network Support Specialists,540,560,20,0.037037037,20,10,10,63450,60320,43410,73460,Associate's degree,None,None
4,15-1199,"Computer Occupations, All Other",400,410,10,0.025,20,10,10,76740,78190,49440,90400,Bachelor's degree,None,None
3,15-2000,Mathematical Science Occupations,570,600,30,0.052631579,30,20,10,n/a,n/a,n/a,n/a, , , 
4,15-2011,Actuaries,160,170,10,0.0625,0,0,0,103050,99750,64010,122570,Bachelor's degree,None,Long-term on-the-job training
4,15-2031,Operations Research Analysts,290,320,30,0.103448276,20,10,10,74010,68960,48250,86890,Bachelor's degree,None,None
4,15-2041,Statisticians,70,70,0,0,0,0,0,68190,63340,40400,82080,Master's degree,None,None
2,17-0000,Architecture and Engineering Occupations,9880,10740,860,0.087044534,660,440,220,78250,74660,48620,93060, , , 
3,17-1000,"Architects, Surveyors, and Cartographers",750,750,0,0,20,0,20,n/a,n/a,n/a,n/a, , , 
4,17-1011,"Architects, Except Landscape and Naval",450,450,0,0,10,0,10,78400,77470,51640,91780,Bachelor's degree,None,Internship/residency
4,17-1012,Landscape Architects,150,150,0,0,0,0,0,76490,71620,54700,87380,Bachelor's degree,None,Internship/residency
4,17-1022,Surveyors,130,130,0,0,0,0,0,59300,58260,38510,69700,Bachelor's degree,Less than 5 years,None
3,17-2000,Engineers,6230,6920,690,0.110754414,500,350,150,n/a,n/a,n/a,n/a, , , 
4,17-2041,Chemical Engineers,160,160,0,0,0,0,0,86290,80890,59480,99700,Bachelor's degree,None,None
4,17-2051,Civil Engineers,1630,1670,40,0.024539877,60,20,40,84990,83780,62750,96120,Bachelor's degree,None,None
4,17-2061,Computer Hardware Engineers,90,90,0,0,0,0,0,106020,101960,71540,123260,Bachelor's degree,None,None
4,17-2071,Electrical Engineers,1340,1700,360,0.268656716,210,180,30,101910,101170,69320,118200,Bachelor's degree,None,None
4,17-2072,"Electronics Engineers, Except Computer",170,180,10,0.058823529,10,10,0,81970,77500,62620,91650,Bachelor's degree,None,None
4,17-2081,Environmental Engineers,550,560,10,0.018181818,20,10,10,84800,84660,64690,94850,Bachelor's degree,None,None
4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",130,130,0,0,0,0,0,78870,77420,59620,88490,Bachelor's degree,None,None
4,17-2112,Industrial Engineers,930,1160,230,0.247311828,140,110,30,94870,92650,65040,109790,Bachelor's degree,None,None
4,17-2131,Materials Engineers,70,80,10,0.142857143,0,0,0,81700,81350,56310,94400,Bachelor's degree,None,None
4,17-2141,Mechanical Engineers,880,900,20,0.022727273,40,10,30,88260,84640,58770,103010,Bachelor's degree,None,None
4,17-2199,"Engineers, All Other",190,190,0,0,0,0,0,87680,86720,60240,101400,Bachelor's degree,None,None
3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",2900,3070,170,0.05862069,140,90,50,n/a,n/a,n/a,n/a, , , 
4,17-3011,Architectural and Civil Drafters,390,390,0,0,10,0,10,48820,47640,37110,54680,Associate's degree,None,None
4,17-3012,Electrical and Electronics Drafters,100,110,10,0.1,0,0,0,54390,48310,38180,62490,Associate's degree,None,None
4,17-3013,Mechanical Drafters,200,200,0,0,0,0,0,51940,47420,36630,59590,Associate's degree,None,None
4,17-3019,"Drafters, All Other",60,60,0,0,0,0,0,47170,47240,40030,50730,Associate's degree,None,None
4,17-3022,Civil Engineering Technicians,190,190,0,0,0,0,0,56330,54510,39770,64610,Associate's degree,None,None
4,17-3023,Electrical and Electronics Engineering Technicians,670,760,90,0.134328358,60,50,10,60810,61620,44170,69130,Associate's degree,None,None
4,17-3025,Environmental Engineering Technicians,120,120,0,0,0,0,0,46420,45940,30910,54180,Associate's degree,None,None
4,17-3026,Industrial Engineering Technicians,470,550,80,0.170212766,50,40,10,57700,56630,42990,65050,Associate's degree,None,None
4,17-3027,Mechanical Engineering Technicians,160,160,0,0,0,0,0,49110,43310,30110,58600,Associate's degree,None,None
4,17-3029,"Engineering Technicians, Except Drafters, All Other",330,330,0,0,10,0,10,57020,56470,39630,65720,Associate's degree,None,None
4,17-3031,Surveying and Mapping Technicians,170,170,0,0,0,0,0,53140,52030,34360,62530,High school diploma or equivalent,None,Moderate-term on-the-job training
2,19-0000,"Life, Physical, and Social Science Occupations",9800,9950,150,0.015306122,370,90,280,60310,55840,34210,73350, , , 
3,19-1000,Life Scientists,1430,1450,20,0.013986014,40,10,30,n/a,n/a,n/a,n/a, , , 
4,19-1021,Biochemists and Biophysicists,270,280,10,0.037037037,10,0,10,65110,63590,45660,74830,Doctoral or professional degree,None,None
4,19-1022,Microbiologists,150,150,0,0,0,0,0,62230,56000,41010,72840,Bachelor's degree,None,None
4,19-1031,Conservation Scientists,80,70,-10,-0.125,0,0,0,60260,58830,49320,65730,Bachelor's degree,None,None
4,19-1042,"Medical Scientists, Except Epidemiologists",690,700,10,0.014492754,20,10,10,n/a,n/a,n/a,n/a,Doctoral or professional degree,None,None
