summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",382340,386460,4120,1.1,11780,2780,9000,44170,35300,20160,56170,,,
2,11-0000,Management Occupations,16870,16980,110,0.7,390,80,310,104480,90110,58280,127570,,,
3,11-1000,Top Executives,5950,6010,60,1,130,30,100,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,860,860,0,0,20,0,20,154050,128540,87140,">$187,200",Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,4390,4450,60,1.4,100,30,70,109750,93530,55940,136650,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,700,700,0,0,20,0,20,79780,80600,68360,85490,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",730,730,0,0,30,10,20,n/a,n/a,n/a,n/a, , , 
4,11-2021,Marketing Managers,180,180,0,0,0,0,0,114700,103380,65750,139180,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,420,420,0,0,10,0,10,118180,103790,63940,145310,Bachelor's degree,Less than 5 years,None
3,11-3000,Operations Specialties Managers,2920,2930,10,0.3,60,10,50,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,550,550,0,0,10,0,10,87070,83610,58770,101220,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,660,680,20,3,20,10,10,120800,107700,77780,142320,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,830,830,0,0,10,0,10,133670,114190,72700,164160,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,300,300,0,0,10,0,10,86680,82220,56240,101900,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,120,120,0,0,0,0,0,105670,100470,64940,126030,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",170,170,0,0,0,0,0,83130,79070,59580,94900,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,50,50,0,0,0,0,0,127270,123820,71800,155000,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,180,180,0,0,0,0,0,96320,94430,57580,115690,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,60,60,0,0,0,0,0,103110,94690,74600,117370,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,7280,7310,30,0.4,180,30,150,n/a,n/a,n/a,n/a, , , 
4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1190,1180,-10,-0.8,20,0,20,n/a,n/a,n/a,n/a,High school diploma or equivalent,5 years or more,None
4,11-9021,Construction Managers,630,630,0,0,10,0,10,90470,78280,61140,105130,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",190,190,0,0,10,0,10,60500,50670,37950,71770,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",660,660,0,0,20,0,20,95780,93050,75930,105710,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",690,710,20,2.9,30,10,20,119580,103990,67610,145560,Master's degree,5 years or more,None
4,11-9041,Architectural and Engineering Managers,410,410,0,0,10,0,10,121750,118760,81470,141890,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,510,520,10,2,20,10,10,56870,53820,40710,64950,High school diploma or equivalent,Less than 5 years,None
4,11-9081,Lodging Managers,60,60,0,0,0,0,0,63960,63550,38270,76800,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,820,840,20,2.4,30,10,20,97000,86100,60550,115230,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,140,140,0,0,0,0,0,97480,92310,72590,109920,Bachelor's degree,5 years or more,None
4,11-9131,Postmasters and Mail Superintendents,540,530,-10,-1.9,10,0,10,65520,64480,51800,72380,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",240,240,0,0,10,0,10,85990,82470,55360,101300,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,530,540,10,1.9,10,0,10,59570,57680,43960,67370,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",510,510,0,0,10,0,10,82370,74450,50350,98380,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,15930,15960,30,0.2,400,80,320,63830,58760,40820,75330, , , 
3,13-1000,Business Operations Specialists,10310,10310,0,0,230,50,180,n/a,n/a,n/a,n/a, , , 
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",280,280,0,0,10,0,10,53860,50970,36720,62420,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",680,680,0,0,10,0,10,61650,58930,44830,70070,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1031,"Claims Adjusters, Examiners, and Investigators",1650,1580,-70,-4.2,40,0,40,61130,60810,42340,70530,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1041,Compliance Officers,620,620,0,0,10,0,10,57840,54730,39360,67080,Bachelor's degree,None,Moderate-term on-the-job training
4,13-1051,Cost Estimators,740,750,10,1.4,30,10,20,53720,47970,36430,62370,Bachelor's degree,None,None
4,13-1071,Human Resources Specialists,860,860,0,0,10,0,10,55400,52140,37100,64550,Bachelor's degree,None,None
4,13-1074,Farm Labor Contractors,50,50,0,0,0,0,0,n/a,n/a,n/a,n/a,Less than high school,Less than 5 years,Short-term on-the-job training
4,13-1075,Labor Relations Specialists,400,400,0,0,10,0,10,57220,53200,40400,65630,Bachelor's degree,None,None
4,13-1081,Logisticians,100,100,0,0,0,0,0,61650,57590,45160,69890,Bachelor's degree,None,None
4,13-1111,Management Analysts,1440,1470,30,2.1,30,10,20,74370,67020,45950,88570,Bachelor's degree,Less than 5 years,None
4,13-1121,"Meeting, Convention, and Event Planners",260,280,20,7.7,10,10,0,41170,39500,25290,49110,Bachelor's degree,None,None
4,13-1131,Fundraisers,230,240,10,4.3,0,0,0,52150,49780,29350,63550,Bachelor's degree,None,None
4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",230,230,0,0,0,0,0,59300,54000,42450,67730,Bachelor's degree,None,None
4,13-1151,Training and Development Specialists,700,700,0,0,10,0,10,60900,57190,39420,71650,Bachelor's degree,Less than 5 years,None
4,13-1161,Market Research Analysts and Marketing Specialists,1080,1110,30,2.8,20,10,10,59350,54870,37920,70070,Bachelor's degree,None,None
4,13-1199,"Business Operations Specialists, All Other",850,850,0,0,10,0,10,67640,65030,44660,79130,High school diploma or equivalent,None,None
3,13-2000,Financial Specialists,5620,5650,30,0.5,170,30,140,n/a,n/a,n/a,n/a, , , 
4,13-2011,Accountants and Auditors,2980,3020,40,1.3,110,20,90,69160,61200,45810,80840,Bachelor's degree,None,None
4,13-2021,Appraisers and Assessors of Real Estate,260,260,0,0,0,0,0,53710,53930,42660,59240,Bachelor's degree,None,Long-term on-the-job training
4,13-2031,Budget Analysts,120,120,0,0,0,0,0,66440,64730,49470,74920,Bachelor's degree,None,None
4,13-2041,Credit Analysts,90,90,0,0,0,0,0,69630,60720,47670,80600,Bachelor's degree,None,None
4,13-2051,Financial Analysts,510,510,0,0,10,0,10,79150,76550,52880,92290,Bachelor's degree,None,None
4,13-2052,Personal Financial Advisors,360,370,10,2.8,10,0,10,88210,70340,40320,112160,Bachelor's degree,None,None
4,13-2053,Insurance Underwriters,440,410,-30,-6.8,10,0,10,66680,61400,43690,78170,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2061,Financial Examiners,50,50,0,0,0,0,0,92270,85780,54350,111220,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2071,Credit Counselors,50,50,0,0,0,0,0,52920,52730,32630,63060,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2072,Loan Officers,330,340,10,3,10,0,10,61920,57120,37580,74100,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",140,140,0,0,0,0,0,63820,59700,44180,73640,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2082,Tax Preparers,210,210,0,0,0,0,0,57480,56300,34060,69190,High school diploma or equivalent,None,Moderate-term on-the-job training
4,13-2099,"Financial Specialists, All Other",90,90,0,0,0,0,0,69560,65760,44740,81970,Bachelor's degree,None,Moderate-term on-the-job training
2,15-0000,Computer and Mathematical Occupations,6910,7000,90,1.3,150,50,100,67520,63310,40220,81170, , , 
3,15-1100,Computer Occupations,6670,6770,100,1.5,150,50,100,n/a,n/a,n/a,n/a, , , 
4,15-1111,Computer and Information Research Scientists,60,60,0,0,0,0,0,78220,76390,48170,93250,Doctoral or professional degree,None,None
4,15-1121,Computer Systems Analysts,870,880,10,1.1,20,10,10,69170,66500,50400,78560,Bachelor's degree,None,None
4,15-1122,Information Security Analysts,120,120,0,0,0,0,0,98820,87060,61090,117680,Bachelor's degree,Less than 5 years,None
4,15-1131,Computer Programmers,910,920,10,1.1,30,10,20,71990,68120,39060,88460,Bachelor's degree,None,None
4,15-1132,"Software Developers, Applications",840,860,20,2.4,20,10,10,81080,75890,60760,91240,Bachelor's degree,None,None
4,15-1133,"Software Developers, Systems Software",600,610,10,1.7,10,0,10,86810,82000,60280,100080,Bachelor's degree,None,None
