summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",610980,618980,8000,0.013093718,19680,5310,14370,44180,35090,20260,56140,,,
2,11-0000,Management Occupations,27920,28200,280,0.010028653,680,180,500,107530,93900,58890,131850,,,
3,11-1000,Top Executives,9110,9240,130,0.014270033,220,60,160,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,1230,1230,0,0,30,0,30,170360,155960,98400,">$187,200",Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,7010,7130,120,0.017118402,170,60,110,113890,96590,57840,141920,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,880,880,0,0,20,0,20,85110,82320,68460,93430,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1580,1610,30,0.018987342,50,20,30,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,90,90,0,0,0,0,0,89720,73170,44800,112180,Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,500,510,10,0.02,20,10,10,127360,115630,71030,155520,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,730,740,10,0.01369863,20,10,10,122280,109140,65130,150860,Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,270,280,10,0.037037037,0,0,0,88360,76680,56720,104180,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,5290,5340,50,0.009451796,120,40,80,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,930,950,20,0.021505376,20,10,10,96470,85970,62550,113430,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,1370,1400,30,0.02189781,30,20,10,115630,111310,79680,133600,Bachelor's degree,5 years or more,None
