summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",980040,1001700,21660,0.022101139,34780,11740,23040,52900,40250,21850,68430, , , 
2,11-0000,Management Occupations,46080,46770,690,0.014973958,1260,420,840,131240,114700,68010,162850, , , 
3,11-1000,Top Executives,16900,17350,450,0.026627219,510,220,290,n/a,n/a,n/a,n/a, , , 
4,11-1011,Chief Executives,2290,2320,30,0.013100437,70,20,50,197760,">$187,200",112270,">$187,200",Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,13640,14050,410,0.030058651,430,210,220,134220,112160,62860,169900,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,970,970,0,0,20,0,20,76360,77720,61810,83630,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2880,2880,0,0,70,10,60,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,270,270,0,0,10,0,10,143270,127880,64060,182880,Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,840,830,-10,-0.011904762,20,0,20,174110,160660,105840,">$187,200",Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,1410,1410,0,0,30,0,30,167020,156370,86650,">$187,200",Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,360,370,10,0.027777778,10,0,10,138460,125980,92080,161650,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,8070,8150,80,0.009913259,180,50,130,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,1660,1690,30,0.018072289,40,20,20,114250,107600,64580,139090,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,1890,1900,10,0.005291005,30,10,20,146480,137660,93310,173060,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,2680,2710,30,0.01119403,70,20,50,150420,132380,83250,184000,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,430,420,-10,-0.023255814,10,0,10,111490,104600,77760,128350,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,270,270,0,0,10,0,10,133100,125170,83030,158140,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",300,300,0,0,10,0,10,114180,107870,70610,135970,High school diploma or equivalent,5 years or more,None
4,11-3121,Human Resources Managers,600,610,10,0.016666667,30,10,20,142350,130060,89840,168610,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,150,150,0,0,0,0,0,135580,126100,84150,161290,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,18230,18400,170,0.009325288,510,140,370,n/a,n/a,n/a,n/a, , , 
4,11-9021,Construction Managers,1850,1940,90,0.048648649,60,40,20,125120,115460,81410,146970,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",600,600,0,0,20,0,20,59780,56390,40250,69540,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",2270,2280,10,0.004405286,60,0,60,127760,131900,87560,147870,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",870,900,30,0.034482759,30,10,20,106890,94850,64060,128300,Master's degree,5 years or more,None
4,11-9039,"Education Administrators, All Other",150,140,-10,-0.066666667,0,0,0,98420,94070,78040,108610,Bachelor's degree,Less than 5 years,None
4,11-9041,Architectural and Engineering Managers,1250,1230,-20,-0.016,20,0,20,133500,124120,99650,150430,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,1200,1230,30,0.025,30,10,20,70000,67130,48960,80510,High school diploma or equivalent,Less than 5 years,None
4,11-9061,Funeral Service Managers,120,110,-10,-0.083333333,0,0,0,205080,">$187,200",82190,n/a,Associate's degree,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,2770,2840,70,0.025270758,100,40,60,121470,106940,76250,144080,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,200,210,10,0.05,0,0,0,155710,154790,91140,">$187,200",Bachelor's degree,5 years or more,None
4,11-9131,Postmasters and Mail Superintendents,1410,1390,-20,-0.014184397,30,0,30,69600,68290,56020,76380,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",770,780,10,0.012987013,30,10,20,75440,60300,52400,86960,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,1070,1090,20,0.018691589,30,10,20,80810,76970,58210,92110,Bachelor's degree,5 years or more,None
