summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",1378600,1408360,29760,0.021587117,48730,16030,32700,52680,39670,21520,68260,,,
2,11-0000,Management Occupations,59190,60210,1020,0.017232641,1630,570,1060,133360,116860,72490,163790,,,
3,11-1000,Top Executives,22640,23180,540,0.02385159,640,270,370,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,2560,2590,30,0.01171875,70,20,50,207910,">$187,200",125690,">$187,200",Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,19710,20220,510,0.02587519,560,250,310,136850,114600,70480,170030,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,370,370,0,0,10,0,10,74800,77930,55730,84330,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",3620,3690,70,0.019337017,100,30,70,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,310,320,10,0.032258065,10,0,10,101730,82890,61780,121710,Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,830,840,10,0.012048193,20,0,20,148750,142660,98170,174040,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,2200,2240,40,0.018181818,60,20,40,158810,144140,87160,">$187,200",Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,290,300,10,0.034482759,10,0,10,114500,110990,74070,134720,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,10880,11060,180,0.016544118,270,100,170,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,2240,2290,50,0.022321429,50,20,30,109920,102930,70350,129700,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,2050,2080,30,0.014634146,40,20,20,138830,133300,97000,159740,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,3700,3770,70,0.018918919,100,40,60,160290,143760,92490,">$187,200",Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,760,750,-10,-0.013157895,10,0,10,111520,101610,73200,130670,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,520,530,10,0.019230769,10,0,10,130430,126090,85240,153020,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",670,680,10,0.014925373,20,10,10,107330,96520,69390,126300,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,150,150,0,0,0,0,0,126510,115690,78670,150430,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,540,550,10,0.018518519,20,10,10,127690,118340,82310,150390,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,270,270,0,0,10,0,10,125900,118350,89680,144010,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,22050,22280,230,0.010430839,620,180,440,n/a,n/a,n/a,n/a, , , 
4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2740,2630,-110,-0.040145985,40,0,40,n/a,n/a,n/a,n/a,High school diploma or equivalent,5 years or more,None
4,11-9021,Construction Managers,2310,2390,80,0.034632035,70,40,30,122720,111400,67070,150550,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",740,750,10,0.013513514,30,10,20,75790,72710,41820,92780,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",2640,2640,0,0,70,0,70,138050,139280,103240,155460,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",790,810,20,0.025316456,30,10,20,118890,107260,73780,141450,Master's degree,5 years or more,None
4,11-9039,"Education Administrators, All Other",120,120,0,0,0,0,0,108720,108750,67330,129420,Bachelor's degree,Less than 5 years,None
4,11-9041,Architectural and Engineering Managers,780,790,10,0.012820513,20,0,20,148360,138500,98790,173140,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,2060,2120,60,0.029126214,60,30,30,72850,72060,53430,82560,High school diploma or equivalent,Less than 5 years,None
4,11-9061,Funeral Service Managers,110,110,0,0,0,0,0,188550,">$187,200",95360,">$187,200",Associate's degree,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,3950,4070,120,0.030379747,140,60,80,117340,106110,78450,136780,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,280,290,10,0.035714286,20,10,10,170640,155940,105110,">$187,200",Bachelor's degree,5 years or more,None
4,11-9131,Postmasters and Mail Superintendents,1790,1780,-10,-0.005586592,40,0,40,80210,81350,69310,85650,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",780,800,20,0.025641026,30,10,20,110890,107240,55770,138440,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,1230,1260,30,0.024390244,30,10,20,75160,72600,50540,87470,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",1550,1550,0,0,30,0,30,120030,111190,72840,143630,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,58380,59700,1320,0.022610483,1910,700,1210,78020,70850,46450,93800, , , 
3,13-1000,Business Operations Specialists,33170,33960,790,0.023816702,980,400,580,n/a,n/a,n/a,n/a, , , 
4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",300,300,0,0,10,0,10,63020,57860,48070,70490,Bachelor's degree,Less than 5 years,None
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",1660,1700,40,0.024096386,60,20,40,66460,63730,37990,80690,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2140,2140,0,0,40,0,40,65990,63430,45420,76270,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1031,"Claims Adjusters, Examiners, and Investigators",5570,5570,0,0,120,0,120,66100,62730,46390,75950,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1032,"Insurance Appraisers, Auto Damage",390,380,-10,-0.025641026,10,0,10,64010,61770,52180,69920,Postsecondary non-degree award,None,Moderate-term on-the-job training
4,13-1041,Compliance Officers,1150,1170,20,0.017391304,30,10,20,69230,65380,47950,79870,Bachelor's degree,None,Moderate-term on-the-job training
4,13-1051,Cost Estimators,2470,2570,100,0.04048583,120,50,70,75480,73100,45740,90340,Bachelor's degree,None,None
4,13-1071,Human Resources Specialists,2590,2670,80,0.030888031,80,40,40,71130,69720,44230,84590,Bachelor's degree,None,None
4,13-1075,Labor Relations Specialists,1030,1040,10,0.009708738,20,0,20,71810,67100,49000,83220,Bachelor's degree,None,None
4,13-1081,Logisticians,310,320,10,0.032258065,10,10,0,79590,73740,58340,90210,Bachelor's degree,None,None
4,13-1111,Management Analysts,5150,5330,180,0.034951456,160,90,70,107100,86250,56090,132610,Bachelor's degree,Less than 5 years,None
4,13-1121,"Meeting, Convention, and Event Planners",660,700,40,0.060606061,30,20,10,68480,52640,32930,86250,Bachelor's degree,None,None
4,13-1131,Fundraisers,420,430,10,0.023809524,20,10,10,55040,54160,34990,65060,Bachelor's degree,None,None
4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",770,780,10,0.012987013,20,10,10,70470,66180,49760,80830,Bachelor's degree,None,None
4,13-1151,Training and Development Specialists,1550,1590,40,0.025806452,50,20,30,63320,62330,38860,75550,Bachelor's degree,Less than 5 years,None
4,13-1161,Market Research Analysts and Marketing Specialists,3830,4020,190,0.049608355,150,100,50,71530,67360,37920,88330,Bachelor's degree,None,None
