summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",213270,215770,2500,0.01172223,6660,1660,5000,40420,32860,19900,50680,,,
2,11-0000,Management Occupations,8700,8760,60,0.006896552,210,50,160,94350,83540,56760,113140,,,
3,11-1000,Top Executives,3350,3390,40,0.011940299,80,20,60,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,520,520,0,0,10,0,10,134490,111400,86670,158400,Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,2180,2220,40,0.018348624,50,20,30,99890,83780,53300,123190,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,650,650,0,0,10,0,10,80590,81060,68700,86540,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",390,400,10,0.025641026,10,0,10,n/a,n/a,n/a,n/a, , , 
4,11-2021,Marketing Managers,100,100,0,0,0,0,0,147310,125670,91080,175430,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,180,180,0,0,0,0,0,116220,100330,62570,143050,Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,90,90,0,0,0,0,0,97450,94150,60940,115710,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,1380,1400,20,0.014492754,30,10,20,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,280,290,10,0.035714286,0,0,0,77630,77120,55450,88710,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,230,230,0,0,0,0,0,109710,105770,68510,130310,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,390,390,0,0,10,0,10,107340,91710,63960,129030,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,140,150,10,0.071428571,0,0,0,80700,79210,53860,94130,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,120,120,0,0,0,0,0,96810,100270,68030,111200,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",80,80,0,0,0,0,0,75600,68560,53070,86870,High school diploma or equivalent,5 years or more,None
4,11-3121,Human Resources Managers,100,100,0,0,0,0,0,94250,84010,60840,110950,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,3580,3580,0,0,80,10,70,n/a,n/a,n/a,n/a, , , 
4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",520,510,-10,-0.019230769,10,0,10,n/a,n/a,n/a,n/a,High school diploma or equivalent,5 years or more,None
4,11-9021,Construction Managers,240,240,0,0,0,0,0,94610,81600,57340,113250,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",90,90,0,0,0,0,0,45400,40170,32770,51710,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",330,330,0,0,10,0,10,88320,87660,70580,97190,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",300,300,0,0,10,0,10,97700,95850,62050,115520,Master's degree,5 years or more,None
4,11-9041,Architectural and Engineering Managers,50,50,0,0,0,0,0,121320,116330,89560,137190,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,250,250,0,0,0,0,0,55580,52800,38810,63960,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,760,770,10,0.013157895,30,10,20,88950,79750,62570,102140,Bachelor's degree,None,None
4,11-9131,Postmasters and Mail Superintendents,350,340,-10,-0.028571429,10,0,10,62880,63010,48700,69970,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",130,130,0,0,0,0,0,67960,62510,52710,75580,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,250,250,0,0,0,0,0,62890,59710,44100,72280,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",230,230,0,0,10,0,10,73060,63200,46370,86400,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,7280,7320,40,0.005494505,200,50,150,57080,53300,35650,67800, , , 
