summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",4264180,4382880,118700,0.027836536,158600,62120,96480,62330,45970,22840,82070,,,
2,11-0000,Management Occupations,242510,248180,5670,0.023380479,7410,3020,4390,154280,138370,79390,">$187,200",,,
3,11-1000,Top Executives,69400,71530,2130,0.030691643,2220,1070,1150,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,9110,9270,160,0.017563117,270,80,190,226880,">$187,200",153060,n/a,Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,60090,62060,1970,0.032784157,1930,980,950,163570,149480,77410,">$187,200",Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27560,28540,980,0.035558781,1060,490,570,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,4040,4280,240,0.059405941,240,120,120,149790,138400,69070,">$187,200",Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,8610,8930,320,0.037166086,330,160,170,179460,166910,109930,">$187,200",Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,10160,10410,250,0.024606299,320,120,200,199470,">$187,200",115760,">$187,200",Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,4740,4930,190,0.040084388,170,90,80,152540,141240,95170,181220,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,65400,66930,1530,0.023394495,1800,770,1030,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,10680,10940,260,0.024344569,270,130,140,122910,114530,72550,148090,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,17620,18290,670,0.038024972,520,340,180,163420,150340,101110,">$187,200",Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,23490,23830,340,0.014474244,560,170,390,190990,182180,107960,">$187,200",Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,1000,1010,10,0.01,20,0,20,124910,113900,77860,148430,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,2040,2090,50,0.024509804,70,30,40,147590,135830,85370,178700,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",1380,1390,10,0.007246377,40,10,30,113510,104830,73670,133430,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,1420,1430,10,0.007042254,40,0,40,141790,133600,88670,168350,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,6150,6280,130,0.021138211,220,60,160,130590,116510,79280,156240,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,1620,1670,50,0.030864198,60,20,40,137710,131140,84520,164300,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,80150,81170,1020,0.012726138,2350,700,1650,n/a,n/a,n/a,n/a, , , 
4,11-9021,Construction Managers,8250,8430,180,0.021818182,200,90,110,120640,105620,69360,146280,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",2660,2670,10,0.003759398,80,10,70,79010,66710,45760,95630,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",8520,8510,-10,-0.001173709,230,0,230,n/a,n/a,n/a,n/a,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",4230,4410,180,0.042553191,200,90,110,114240,100300,63540,139590,Master's degree,5 years or more,None
4,11-9039,"Education Administrators, All Other",530,540,10,0.018867925,20,10,10,110520,103070,60910,135320,Bachelor's degree,Less than 5 years,None
4,11-9041,Architectural and Engineering Managers,2390,2440,50,0.020920502,80,30,50,148690,139520,96950,174560,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,5560,5750,190,0.034172662,190,100,90,70090,64770,50230,80020,High school diploma or equivalent,Less than 5 years,None
4,11-9081,Lodging Managers,500,510,10,0.02,20,0,20,84230,80790,54250,99220,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,13520,13830,310,0.022928994,450,160,290,126230,112710,78220,150240,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,690,710,20,0.028985507,20,10,10,127020,115030,75920,152570,Bachelor's degree,5 years or more,None
4,11-9141,"Property, Real Estate, and Community Association Managers",4210,4270,60,0.014251781,120,30,90,110060,89920,59500,135340,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,6110,6230,120,0.019639935,170,60,110,83440,79890,57650,96330,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",11360,11600,240,0.021126761,370,120,250,144060,124740,75130,178530,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,292450,300830,8380,0.028654471,9860,4290,5570,94370,81030,50810,116150, , , 
3,13-1000,Business Operations Specialists,155030,160360,5330,0.034380442,5060,2680,2380,n/a,n/a,n/a,n/a, , , 
4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2850,2910,60,0.021052632,90,30,60,94420,75210,45200,119030,Bachelor's degree,Less than 5 years,None
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",4820,4930,110,0.022821577,170,50,120,72270,67520,41930,87440,High school diploma or equivalent,None,Long-term on-the-job training
