summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",167710,168370,660,0.003935365,5040,990,4050,39890,32160,19290,50190,,,
2,11-0000,Management Occupations,7250,7250,0,0,170,30,140,86280,79820,54010,102410,,,
3,11-1000,Top Executives,2810,2800,-10,-0.003558719,50,0,50,n/a,n/a,n/a,n/a,,,
4,11-1011,Chief Executives,390,380,-10,-0.025641026,10,0,10,121270,109290,82830,140490,Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,1690,1700,10,0.00591716,30,0,30,90200,77520,50740,109940,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,720,720,0,0,20,0,20,78190,78940,67910,83330,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",250,250,0,0,10,0,10,n/a,n/a,n/a,n/a, , , 
4,11-2022,Sales Managers,170,170,0,0,0,0,0,94940,84140,60260,112280,Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,40,40,0,0,0,0,0,96950,84600,63440,113700,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,720,720,0,0,20,10,10,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,190,190,0,0,0,0,0,80350,75820,49450,95800,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,90,90,0,0,0,0,0,87660,80790,56680,103160,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,210,210,0,0,0,0,0,95020,86700,64080,110490,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,100,100,0,0,0,0,0,80280,73060,52580,94130,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,20,20,0,0,0,0,0,92780,92410,69390,104470,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",40,40,0,0,0,0,0,87810,88190,58390,102520,High school diploma or equivalent,5 years or more,None
4,11-3121,Human Resources Managers,50,50,0,0,0,0,0,88980,88480,73500,96720,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,3470,3490,20,0.005763689,90,20,70,n/a,n/a,n/a,n/a, , , 
4,11-9021,Construction Managers,200,200,0,0,0,0,0,79020,80320,53300,91890,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",40,40,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",300,300,0,0,10,0,10,81710,84740,56000,94570,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",180,180,0,0,10,0,10,88920,84460,57100,104820,Master's degree,5 years or more,None
4,11-9041,Architectural and Engineering Managers,40,40,0,0,0,0,0,112290,115520,82550,127160,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,210,210,0,0,0,0,0,55190,52500,39750,62910,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,500,510,10,0.02,20,10,10,89630,80880,62230,103330,Bachelor's degree,None,None
4,11-9121,Natural Sciences Managers,20,20,0,0,0,0,0,107590,94450,71050,125860,Bachelor's degree,5 years or more,None
4,11-9131,Postmasters and Mail Superintendents,340,330,-10,-0.029411765,10,0,10,57650,57400,42160,65390,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",90,90,0,0,0,0,0,80840,75380,51830,95350,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,230,230,0,0,0,0,0,55740,53060,42740,62250,Bachelor's degree,5 years or more,None
4,11-9161,Emergency Management Directors,30,30,0,0,0,0,0,55460,54990,39690,63340,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",360,350,-10,-0.027777778,10,0,10,81640,85400,51130,96900,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,4940,4920,-20,-0.004048583,100,10,90,59900,58010,38550,70570, , , 
3,13-1000,Business Operations Specialists,3380,3360,-20,-0.00591716,60,10,50,n/a,n/a,n/a,n/a, , , 
4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",30,30,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,Less than 5 years,None
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",60,60,0,0,0,0,0,50510,50060,39820,55860,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",220,220,0,0,0,0,0,51850,49210,37490,59040,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1031,"Claims Adjusters, Examiners, and Investigators",80,80,0,0,0,0,0,58420,50950,42570,66340,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1041,Compliance Officers,980,970,-10,-0.010204082,10,0,10,63790,69520,47740,71820,Bachelor's degree,None,Moderate-term on-the-job training
4,13-1051,Cost Estimators,120,120,0,0,0,0,0,54830,50630,36580,63950,Bachelor's degree,None,None
4,13-1071,Human Resources Specialists,250,250,0,0,0,0,0,51830,47940,30220,62640,Bachelor's degree,None,None
4,13-1074,Farm Labor Contractors,20,20,0,0,0,0,0,n/a,n/a,n/a,n/a,Less than high school,Less than 5 years,Short-term on-the-job training
4,13-1081,Logisticians,80,80,0,0,0,0,0,76090,75400,56700,85790,Bachelor's degree,None,None
4,13-1111,Management Analysts,340,350,10,0.029411765,0,0,0,72170,66840,50660,82930,Bachelor's degree,Less than 5 years,None
4,13-1121,"Meeting, Convention, and Event Planners",50,50,0,0,0,0,0,41480,38930,25830,49300,Bachelor's degree,None,None
4,13-1131,Fundraisers,40,40,0,0,0,0,0,57920,51540,39540,67110,Bachelor's degree,None,None
4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",90,90,0,0,0,0,0,46040,43390,31190,53460,Bachelor's degree,None,None
4,13-1151,Training and Development Specialists,210,210,0,0,0,0,0,49920,49780,33420,58170,Bachelor's degree,Less than 5 years,None
4,13-1161,Market Research Analysts and Marketing Specialists,150,150,0,0,0,0,0,65510,62900,42410,77060,Bachelor's degree,None,None
4,13-1199,"Business Operations Specialists, All Other",570,570,0,0,10,0,10,56520,58020,32570,68490,High school diploma or equivalent,None,None
3,13-2000,Financial Specialists,1560,1560,0,0,50,10,40,n/a,n/a,n/a,n/a, , , 
4,13-2011,Accountants and Auditors,890,900,10,0.011235955,30,0,30,64710,59620,43150,75500,Bachelor's degree,None,None
4,13-2021,Appraisers and Assessors of Real Estate,180,170,-10,-0.055555556,0,0,0,52000,52750,40120,57950,Bachelor's degree,None,Long-term on-the-job training
4,13-2031,Budget Analysts,40,40,0,0,0,0,0,64910,61860,48810,72960,Bachelor's degree,None,None
4,13-2041,Credit Analysts,30,30,0,0,0,0,0,59040,61860,43320,66910,Bachelor's degree,None,None
4,13-2051,Financial Analysts,30,30,0,0,0,0,0,77280,80790,42860,94490,Bachelor's degree,None,None
4,13-2052,Personal Financial Advisors,90,90,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,None,None
4,13-2071,Credit Counselors,20,20,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2072,Loan Officers,160,160,0,0,0,0,0,49180,43450,28460,59540,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",80,80,0,0,0,0,0,51800,47800,40740,57330,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2099,"Financial Specialists, All Other",20,20,0,0,0,0,0,58690,57530,43220,66420,Bachelor's degree,None,Moderate-term on-the-job training
2,15-0000,Computer and Mathematical Occupations,1140,1160,20,0.01754386,30,10,20,55970,54270,36050,65930, , , 
3,15-1100,Computer Occupations,1110,1130,20,0.018018018,30,10,20,n/a,n/a,n/a,n/a, , , 
4,15-1121,Computer Systems Analysts,90,90,0,0,0,0,0,66340,63990,47420,75810,Bachelor's degree,None,None
4,15-1131,Computer Programmers,140,140,0,0,0,0,0,51540,52100,38510,58060,Bachelor's degree,None,None
4,15-1132,"Software Developers, Applications",70,80,10,0.142857143,0,0,0,70250,67890,53550,78600,Bachelor's degree,None,None
4,15-1134,Web Developers,80,80,0,0,0,0,0,46670,49780,34210,52900,Associate's degree,None,None
4,15-1141,Database Administrators,30,30,0,0,0,0,0,53100,50740,38230,60530,Bachelor's degree,Less than 5 years,None
4,15-1142,Network and Computer Systems Administrators,150,150,0,0,0,0,0,58940,60300,36550,70140,Bachelor's degree,None,None
4,15-1143,Computer Network Architects,50,50,0,0,0,0,0,64350,62380,50450,71300,Bachelor's degree,5 years or more,None
4,15-1151,Computer User Support Specialists,310,310,0,0,0,0,0,41590,41270,29040,47870,"Some college, no degree",None,Moderate-term on-the-job training
4,15-1152,Computer Network Support Specialists,60,60,0,0,0,0,0,55730,54860,39130,64040,Associate's degree,None,None
