summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
1,00-0000,"Total, All Occupations",695270,703840,8570,0.012326147,22190,5470,16720,42420,33900,19560,53850,,,
2,11-0000,Management Occupations,29020,29310,290,0.009993108,720,190,530,103830,89270,56730,127380,,,
3,11-1000,Top Executives,10930,11100,170,0.015553522,280,90,190,n/a,n/a,n/a,n/a, ,,
4,11-1011,Chief Executives,1430,1440,10,0.006993007,30,0,30,165880,142150,90130,">$187,200",Bachelor's degree,5 years or more,None
4,11-1021,General and Operations Managers,8630,8790,160,0.018539977,220,80,140,107210,87750,54540,133550,Bachelor's degree,Less than 5 years,None
4,11-1031,Legislators,870,870,0,0,20,0,20,78830,79350,67250,84610,Bachelor's degree,Less than 5 years,None
3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1580,1600,20,0.012658228,40,10,30,n/a,n/a,n/a,n/a, , , 
4,11-2011,Advertising and Promotions Managers,80,80,0,0,0,0,0,131210,113770,71560,161030,Bachelor's degree,Less than 5 years,None
4,11-2021,Marketing Managers,410,420,10,0.024390244,10,0,10,130110,117580,81610,154360,Bachelor's degree,5 years or more,None
4,11-2022,Sales Managers,920,930,10,0.010869565,30,10,20,119750,106190,64560,147350,Bachelor's degree,Less than 5 years,None
4,11-2031,Public Relations and Fundraising Managers,170,170,0,0,0,0,0,114120,101520,60260,141050,Bachelor's degree,5 years or more,None
3,11-3000,Operations Specialties Managers,5600,5680,80,0.014285714,130,40,90,n/a,n/a,n/a,n/a, , , 
4,11-3011,Administrative Services Managers,1030,1050,20,0.019417476,20,10,10,87490,83110,58670,101900,Bachelor's degree,Less than 5 years,None
4,11-3021,Computer and Information Systems Managers,910,940,30,0.032967033,20,10,10,107200,103860,71650,124970,Bachelor's degree,5 years or more,None
4,11-3031,Financial Managers,1840,1860,20,0.010869565,40,10,30,127240,110120,70930,155390,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,720,700,-20,-0.027777778,10,0,10,95920,89330,62580,112590,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,240,240,0,0,0,0,0,98150,90660,64750,114850,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",300,300,0,0,10,0,10,86440,74940,54240,102540,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,80,80,0,0,0,0,0,115860,108670,83730,131920,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,380,390,10,0.026315789,10,0,10,110940,97820,65380,133720,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,120,120,0,0,0,0,0,111500,92280,65680,134400,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,10910,10930,20,0.001833181,270,50,220,n/a,n/a,n/a,n/a, , , 
