state,city,pd,all_people_killed_by_police_2013-2017,black_people_killed_by_police_2013-2017,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,black-white_dissimilarity_index_2010,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate,total_police_homicide_rate_for_black_people
New Mexico,Albuquerque,Albuquerque Police Department,19,3,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055","558,874",28.48,"4,934",30,8.8,5.4,7.7,44.8
California,Anaheim,Anaheim Police Department,9,2,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467","346,956",27.78,"1,101",14,3.2,4,5.9,54.1
Alaska,Anchorage,Anchorage Police Department,7,0,"291,826","15,308","182,814","22,047","23,208","5,776",28984,562,"20,050","22,061","301,306",34.33,"2,605",12,8.6,4,5.3,0
Texas,Arlington,Arlington Police Department,7,4,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269","382,976",39.74,"1,854",13,4.8,3.4,4.3,13.2
Georgia,Atlanta,Atlanta Police Department,9,7,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815","454,363",74.12,"5,577",93,12.3,20.5,4.8,6.9
Colorado,Aurora,Aurora Police Department,10,3,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263","350,948",28.72,"1,448",11,4.1,3.1,6.8,13.6
Texas,Austin,Austin Police Department,22,4,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707","903,924",54.14,"3,581",32,4,3.5,6.2,14.6
California,Bakersfield,Bakersfield Police Department,20,1,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205","367,406",43.39,"1,678",17,4.6,4.6,12.8,8.3
Maryland,Baltimore,Baltimore Police Department,28,24,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960","623,513",68.9,"8,346",211,13.4,33.8,10,13.6
Louisiana,Baton Rouge,Baton Rouge Police Department,9,8,"229,493","124,542","86,679",397,"7,469",39,7508,332,"2,382","7,653","229,387",66.94,"2,120",53,9.2,23.1,8.7,14.3
Alabama,Birmingham,Birmingham Police Department,6,4,"212,237","155,258","44,819",361,"2,132",48,2180,150,"1,765","7,704","212,115",62.56,"3,369",52,15.9,24.5,6.3,5.7
Massachusetts,Boston,Boston Police Department,9,8,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917","654,413",69.17,"4,749",53,7.3,8.1,3.2,12.9
New York,Buffalo,Buffalo Police Department,2,1,"261,310","97,637","119,801","1,597","8,313",79,8392,445,"5,919","27,519","258,419",65.89,"3,174",60,12.3,23.2,1.7,2.3
Arizona,Chandler,Chandler Police Department,2,0,"236,123","10,580","145,724","2,715","19,119",365,19484,369,"5,443","51,808","252,369",17.24,466,1,1.8,0.4,1.9,0
