victim_age,victim_gender,victim_race,date_of_incident,city,state,zipcode,county,agency,cause_of_death,symptoms_of_mental_illness,unarmed,alleged_weapon,alleged_threat_level,fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Male,Black,10/16/17,Baltimore,MD,21214,Baltimore City,Baltimore Police Department,Gunshot,No,Allegedly Armed,gun,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,Unknown race,10/16/17,Simpsonville,SC,29681,Greenville,Greenville County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,Hispanic,10/16/17,Tucson,AZ,85743,Pima,Pima County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,Unknown race,10/16/17,Kingwood,TX,77339,Harris,Montgomery County Precinct 4 Constable's Office,Gunshot,No,Allegedly Armed,gun,,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,White,10/14/17,San Marcos,CA,92078,San Diego,San Diego Sheriff's Office,Tasered,Yes,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,Unknown race,10/14/17,Torrance,CA,90505,Los Angeles,Torrance Police Department,Gunshot,Drug or alcohol use,Unclear,undetermined,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Male,White,10/14/17,Monticello,KY,42633,Wayne,Wayne County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,Black,10/13/17,Charlottesville,VA,22902,Charlottesville City,Charlottesville Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Unknown race,10/13/17,Olivehurst,CA,95961,Yuba,Yuba County Sheriff's Office,Gunshot,No,Unclear,undetermined,undetermined,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,White,10/12/17,Port Richey,FL,34668,Pasco,Pasco County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Black,10/12/17,Birmingham,AL,35209,Jefferson,Homewood Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,White,10/12/17,Flagstaff,AZ,86004,Coconino,Flagstaff Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,Hispanic,10/11/17,Marana,AZ,85743,Pima,Marana Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40s,Male,Unknown race,10/11/17,Trinidad,CO,81082,Las Animas,Las Animas County Sheriff's Office,Gunshot,No,,,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Male,White,10/11/17,Biloxi,MS,39532,Harrison,Biloxi Police Department,Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Male,Unknown race,10/10/17,Rochester,WA,98579,Thurston,Thurston County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Black,10/8/17,Miami Beach,FL,33139,Miami-Dade,Miami Beach Police Department,Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
