state,city,police_department,police_killings_2013,police_killings_2014,police_killings_2015,police_killings_2016,black_people_killed_by_police_2016,total_killings_2013-16,black_people_killed_by_police_2013-2016,unarmed_killings,percent_unarmed,police_killings_2013_rate,police_killings_2014_rate,police_killings_2015_rate,police_killings_2016_rate,avg_rate,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate_average_annual_rate,total_police_homicide_rate_for_black_people_average_annual_rate,black-white_dissimilarity_2010,percent_of_killings_black_2016,number_of_restrictive_use_of_force_policies_as_of_2016
New Mexico,Albuquerque,Albuquerque Police Department,4,6,3,2,0,15,3,0,0%,7.33,10.99,5.50,3.66,6.87,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055","558,874","4,934",30,8.8,5.4,6.9,50.4,28.48,0,5
California,Anaheim,Anaheim Police Department,0,2,3,4,0,9,2,2,22%,0.00,5.95,8.92,11.90,6.69,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467","346,956","1,101",14,3.2,4.0,6.7,60.9,27.78,0,3
Texas,Arlington,Arlington Police Department,1,1,3,0,0,5,3,2,40%,2.74,2.74,8.21,0.00,3.42,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269","382,976","1,854",13,4.8,3.4,3.4,11.2,39.74,#DIV/0!,4
Georgia,Atlanta,Atlanta Police Department,1,2,3,1,1,7,5,3,43%,2.38,4.76,7.14,2.38,4.17,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815","454,363","5,577",93,12.3,20.5,4.2,5.6,74.12,100,2
Colorado,Aurora,Aurora Police Department,1,2,5,2,0,10,3,1,10%,3.08,6.15,15.38,6.15,7.69,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263","350,948","1,448",11,4.1,3.1,7.7,15.3,28.72,0,3
Texas,Austin,Austin Police Department,3,3,6,6,1,18,2,4,22%,3.80,3.80,7.59,7.59,5.69,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707","903,924","3,581",32,4.0,3.5,5.7,8.2,54.14,16.66666667,3
California,Bakersfield,Bakersfield Police Department,5,2,6,5,0,18,1,5,28%,14.39,5.76,17.27,14.39,12.95,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205","367,406","1,678",17,4.6,4.6,13.0,9.4,43.39,0,1
Maryland,Baltimore,Baltimore Police Department,11,5,4,6,6,26,22,8,31%,17.71,8.05,6.44,9.66,10.47,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960","623,513","8,346",211,13.4,33.8,10.5,14.0,68.90,100,5
Massachusetts,Boston,Boston Police Department,3,1,2,3,3,9,8,0,0%,4.86,1.62,3.24,4.86,3.64,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917","654,413","4,749",53,7.3,8.1,3.6,14.5,69.17,100,4
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,4,1,2,5,4,12,9,1,8%,5.47,1.37,2.73,6.84,4.10,"731,424","252,007","329,545","2,250","36,115",436,36551,"1,960","13,423","95,688","856,916","5,054",47,5.9,5.5,4.1,8.9,53.40,80,2
